BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	24
Frequency:    	100 Hz
Frames:       	830
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	    r gr.X	    r gr.Y	    r gr.Z	    l gr.X	    l gr.Y	    l gr.Z	
     0	0.000	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.292729	  0.463654	  0.076131	 -2.319239	  0.383654	  0.079020	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.415867	  0.741682	 -0.284140	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.446742	  0.428031	 -0.226066	 -2.483248	  0.341323	 -0.226202	       NaN	       NaN	       NaN	 -2.543229	  0.017057	 -0.182661	       NaN	       NaN	       NaN	 -2.456133	  0.087912	  0.092159	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.419288	  1.278373	 -0.294441	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     1	0.010	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.290018	  0.464927	  0.075317	 -2.313459	  0.385124	  0.077780	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.414506	  0.741160	 -0.284969	 -2.328279	  0.830010	 -0.207213	       NaN	       NaN	       NaN	 -2.446991	  0.427852	 -0.226456	 -2.482873	  0.341356	 -0.226358	       NaN	       NaN	       NaN	 -2.542999	  0.017078	 -0.182722	       NaN	       NaN	       NaN	 -2.442890	  0.086521	  0.089806	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.416515	  1.278434	 -0.295605	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     2	0.020	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.286903	  0.466338	  0.074052	 -2.307525	  0.386057	  0.076738	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.413292	  0.740734	 -0.285614	 -2.327122	  0.829637	 -0.208051	       NaN	       NaN	       NaN	 -2.447021	  0.427654	 -0.226733	 -2.482478	  0.341408	 -0.226516	       NaN	       NaN	       NaN	 -2.543190	  0.017010	 -0.182845	       NaN	       NaN	       NaN	 -2.429444	  0.084613	  0.087577	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.414781	  1.278415	 -0.296653	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     3	0.030	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.377839	  0.555725	  0.189712	 -2.284293	  0.467824	  0.072602	 -2.301593	  0.386651	  0.075752	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.412510	  0.740399	 -0.286018	 -2.326099	  0.829084	 -0.208750	       NaN	       NaN	       NaN	 -2.446840	  0.427465	 -0.226982	 -2.481943	  0.341466	 -0.226669	       NaN	       NaN	       NaN	 -2.543201	  0.017017	 -0.183012	       NaN	       NaN	       NaN	 -2.415666	  0.081853	  0.085683	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.411945	  1.278465	 -0.297746	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     4	0.040	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.374028	  0.557538	  0.189871	 -2.280562	  0.469184	  0.071687	 -2.296401	  0.386863	  0.074835	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.411102	  0.740211	 -0.286351	 -2.324232	  0.828481	 -0.209503	       NaN	       NaN	       NaN	 -2.446508	  0.427345	 -0.227178	 -2.481383	  0.341516	 -0.226820	       NaN	       NaN	       NaN	 -2.543440	  0.016946	 -0.183118	       NaN	       NaN	       NaN	 -2.401760	  0.078574	  0.084088	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.408682	  1.278542	 -0.298882	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     5	0.050	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.369765	  0.558998	  0.189672	 -2.275908	  0.470461	  0.070796	 -2.290470	  0.387075	  0.073815	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.408900	  0.740117	 -0.286709	 -2.321559	  0.828042	 -0.210304	       NaN	       NaN	       NaN	 -2.446206	  0.427208	 -0.227312	 -2.480780	  0.341565	 -0.226912	       NaN	       NaN	       NaN	 -2.543416	  0.017004	 -0.183213	       NaN	       NaN	       NaN	 -2.386379	  0.075304	  0.083001	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.406120	  1.278516	 -0.299840	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     6	0.060	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.365520	  0.560350	  0.189429	 -2.271686	  0.471521	  0.070037	 -2.285187	  0.386938	  0.072996	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.406488	  0.739953	 -0.287014	 -2.319226	  0.827610	 -0.211003	       NaN	       NaN	       NaN	 -2.445750	  0.427086	 -0.227527	 -2.480014	  0.341641	 -0.226955	       NaN	       NaN	       NaN	 -2.543451	  0.017057	 -0.183228	       NaN	       NaN	       NaN	 -2.370848	  0.071661	  0.082015	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.403891	  1.278476	 -0.300589	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     7	0.070	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.360030	  0.560911	  0.188002	 -2.267803	  0.472405	  0.069421	 -2.279860	  0.386765	  0.072210	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.404145	  0.739693	 -0.287280	 -2.317379	  0.826923	 -0.211481	       NaN	       NaN	       NaN	 -2.444876	  0.426954	 -0.227609	 -2.479214	  0.341733	 -0.226914	       NaN	       NaN	       NaN	 -2.543406	  0.017111	 -0.183209	       NaN	       NaN	       NaN	 -2.354629	  0.067961	  0.081136	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.400288	  1.278460	 -0.301395	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     8	0.080	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.354244	  0.561014	  0.186368	 -2.263739	  0.473093	  0.068867	 -2.273665	  0.386427	  0.071546	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.401865	  0.739345	 -0.287507	 -2.315485	  0.826226	 -0.211775	       NaN	       NaN	       NaN	 -2.443755	  0.426724	 -0.227566	 -2.478345	  0.341797	 -0.226817	       NaN	       NaN	       NaN	 -2.543271	  0.017196	 -0.183227	       NaN	       NaN	       NaN	 -2.337941	  0.064252	  0.080399	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.396423	  1.278359	 -0.302174	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     9	0.090	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.352920	  0.562657	  0.188660	 -2.259796	  0.473529	  0.068406	 -2.268819	  0.385529	  0.071283	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.399874	  0.738770	 -0.287673	 -2.312991	  0.825727	 -0.212059	       NaN	       NaN	       NaN	 -2.442539	  0.426506	 -0.227500	 -2.477314	  0.341895	 -0.226702	       NaN	       NaN	       NaN	 -2.543194	  0.017336	 -0.183194	       NaN	       NaN	       NaN	 -2.320740	  0.060574	  0.079948	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.393507	  1.278122	 -0.302777	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
