BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	22
Frequency:    	100 Hz
Frames:       	583
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	
   147	1.470	  0.092475	  0.899499	  0.208414	 -0.090376	  0.875721	  0.056967	 -0.064660	  0.802491	  0.032423	 -0.037760	  0.624903	 -0.056941	  0.027369	  0.441280	  0.057792	  0.038883	  0.388505	  0.050804	  0.049382	  0.255739	  0.012607	  0.051031	  0.075373	  0.066506	 -0.037231	  0.026220	  0.039956	 -0.093660	  0.883412	  0.370166	 -0.059773	  0.818193	  0.398549	 -0.063762	  0.625586	  0.486448	 -0.016439	  0.441770	  0.372190	  0.001187	  0.381211	  0.379496	  0.023576	  0.251198	  0.412661	  0.044848	  0.078485	  0.351957	 -0.058383	  0.026369	  0.379462	  0.111638	  0.028915	  0.122848	  0.101415	  0.018657	  0.284316	 -0.022178	  1.331077	  0.046367	  0.076166	  1.351047	  0.218006	 -0.000556	  1.322728	  0.400284	
   148	1.480	  0.092370	  0.899517	  0.208426	 -0.090441	  0.875693	  0.056951	 -0.064831	  0.802476	  0.032417	 -0.037810	  0.624920	 -0.056942	  0.027307	  0.441284	  0.057793	  0.038847	  0.388486	  0.050807	  0.049381	  0.255754	  0.012611	  0.051032	  0.075390	  0.066512	 -0.037228	  0.026224	  0.039948	 -0.093863	  0.883431	  0.370131	 -0.059942	  0.818223	  0.398534	 -0.063878	  0.625585	  0.486421	 -0.016504	  0.441763	  0.372173	  0.001135	  0.381220	  0.379482	  0.023544	  0.251198	  0.412668	  0.044846	  0.078492	  0.351971	 -0.058373	  0.026388	  0.379458	  0.111632	  0.028923	  0.122860	  0.101383	  0.018653	  0.284311	 -0.022298	  1.331078	  0.046323	  0.076059	  1.351038	  0.217977	 -0.000687	  1.322731	  0.400269	
   149	1.490	  0.092278	  0.899540	  0.208432	 -0.090522	  0.875679	  0.056934	 -0.065001	  0.802464	  0.032401	 -0.037895	  0.624931	 -0.056950	  0.027215	  0.441284	  0.057770	  0.038791	  0.388503	  0.050803	  0.049334	  0.255767	  0.012610	  0.051034	  0.075411	  0.066513	 -0.037222	  0.026235	  0.039955	 -0.094017	  0.883453	  0.370119	 -0.060082	  0.818241	  0.398522	 -0.064035	  0.625583	  0.486407	 -0.016573	  0.441755	  0.372153	  0.001084	  0.381219	  0.379488	  0.023484	  0.251204	  0.412667	  0.044826	  0.078501	  0.351961	 -0.058398	  0.026385	  0.379435	  0.111610	  0.028926	  0.122859	  0.101371	  0.018657	  0.284301	 -0.022390	  1.331064	  0.046283	  0.075949	  1.351028	  0.217958	 -0.000821	  1.322735	  0.400237	
   150	1.500	  0.092155	  0.899548	  0.208444	 -0.090621	  0.875678	  0.056920	 -0.065182	  0.802457	  0.032370	 -0.037995	  0.624931	 -0.056970	  0.027162	  0.441282	  0.057763	  0.038737	  0.388520	  0.050792	  0.049267	  0.255773	  0.012619	  0.051026	  0.075399	  0.066492	 -0.037191	  0.026243	  0.039967	 -0.094189	  0.883470	  0.370124	 -0.060201	  0.818248	  0.398511	 -0.064171	  0.625579	  0.486387	 -0.016653	  0.441730	  0.372120	  0.001030	  0.381226	  0.379480	  0.023414	  0.251214	  0.412662	  0.044817	  0.078490	  0.351951	 -0.058400	  0.026375	  0.379431	  0.111601	  0.028926	  0.122865	  0.101356	  0.018653	  0.284298	 -0.022489	  1.331059	  0.046257	  0.075856	  1.351023	  0.217922	 -0.000940	  1.322742	  0.400206	
   151	1.510	  0.092046	  0.899562	  0.208445	 -0.090727	  0.875682	  0.056899	 -0.065355	  0.802456	  0.032376	 -0.038071	  0.624932	 -0.056981	  0.027101	  0.441293	  0.057767	  0.038687	  0.388530	  0.050793	  0.049243	  0.255770	  0.012604	  0.051042	  0.075401	  0.066505	 -0.037175	  0.026241	  0.039959	 -0.094361	  0.883488	  0.370124	 -0.060346	  0.818253	  0.398517	 -0.064292	  0.625559	  0.486358	 -0.016729	  0.441718	  0.372114	  0.000971	  0.381223	  0.379486	  0.023366	  0.251210	  0.412646	  0.044823	  0.078490	  0.351940	 -0.058397	  0.026390	  0.379417	  0.111618	  0.028949	  0.122876	  0.101361	  0.018663	  0.284289	 -0.022579	  1.331064	  0.046231	  0.075779	  1.351026	  0.217894	 -0.001051	  1.322750	  0.400182	
   152	1.520	  0.091937	  0.899578	  0.208453	 -0.090786	  0.875652	  0.056884	 -0.065509	  0.802456	  0.032366	 -0.038163	  0.624949	 -0.056982	  0.027026	  0.441310	  0.057770	  0.038647	  0.388523	  0.050803	  0.049216	  0.255781	  0.012588	  0.051041	  0.075415	  0.066504	 -0.037215	  0.026231	  0.039948	 -0.094495	  0.883491	  0.370141	 -0.060518	  0.818269	  0.398518	 -0.064423	  0.625528	  0.486335	 -0.016815	  0.441702	  0.372083	  0.000908	  0.381224	  0.379478	  0.023343	  0.251201	  0.412639	  0.044828	  0.078514	  0.351935	 -0.058410	  0.026387	  0.379428	  0.111615	  0.028969	  0.122894	  0.101377	  0.018664	  0.284292	 -0.022660	  1.331061	  0.046202	  0.075695	  1.351028	  0.217876	 -0.001183	  1.322750	  0.400168	
   153	1.530	  0.091850	  0.899595	  0.208467	 -0.090829	  0.875632	  0.056873	 -0.065692	  0.802452	  0.032348	 -0.038276	  0.624941	 -0.057002	  0.026957	  0.441326	  0.057770	  0.038584	  0.388537	  0.050806	  0.049182	  0.255779	  0.012592	  0.051019	  0.075432	  0.066498	 -0.037215	  0.026238	  0.039935	 -0.094678	  0.883502	  0.370140	 -0.060689	  0.818279	  0.398522	 -0.064530	  0.625516	  0.486320	 -0.016882	  0.441694	  0.372066	  0.000835	  0.381212	  0.379468	  0.023293	  0.251196	  0.412618	  0.044815	  0.078520	  0.351931	 -0.058414	  0.026382	  0.379441	  0.111629	  0.028993	  0.122898	  0.101387	  0.018670	  0.284301	 -0.022759	  1.331056	  0.046170	  0.075617	  1.351017	  0.217848	 -0.001319	  1.322746	  0.400151	
   154	1.540	  0.091770	  0.899612	  0.208481	 -0.090886	  0.875612	  0.056862	 -0.065885	  0.802458	  0.032334	 -0.038372	  0.624938	 -0.057014	  0.026902	  0.441311	  0.057769	  0.038509	  0.388554	  0.050799	  0.049103	  0.255789	  0.012593	  0.051002	  0.075438	  0.066518	 -0.037186	  0.026245	  0.039957	 -0.094850	  0.883525	  0.370135	 -0.060839	  0.818254	  0.398541	 -0.064635	  0.625505	  0.486293	 -0.016941	  0.441688	  0.372049	  0.000764	  0.381204	  0.379479	  0.023240	  0.251203	  0.412602	  0.044809	  0.078533	  0.351927	 -0.058400	  0.026387	  0.379435	  0.111619	  0.028989	  0.122900	  0.101396	  0.018681	  0.284307	 -0.022836	  1.331048	  0.046141	  0.075552	  1.351007	  0.217837	 -0.001470	  1.322737	  0.400127	
   155	1.550	  0.091708	  0.899630	  0.208489	 -0.090950	  0.875585	  0.056846	 -0.066033	  0.802460	  0.032320	 -0.038455	  0.624946	 -0.057018	  0.026849	  0.441304	  0.057772	  0.038444	  0.388570	  0.050809	  0.049076	  0.255797	  0.012599	  0.050965	  0.075457	  0.066518	 -0.037228	  0.026250	  0.039965	 -0.095040	  0.883549	  0.370137	 -0.061023	  0.818252	  0.398563	 -0.064713	  0.625480	  0.486283	 -0.017016	  0.441672	  0.372020	  0.000710	  0.381223	  0.379465	  0.023220	  0.251223	  0.412595	  0.044797	  0.078535	  0.351930	 -0.058411	  0.026404	  0.379413	  0.111654	  0.029007	  0.122915	  0.101371	  0.018689	  0.284305	 -0.022894	  1.331035	  0.046118	  0.075452	  1.351003	  0.217827	 -0.001589	  1.322746	  0.400111	
   156	1.560	  0.091638	  0.899661	  0.208493	 -0.091039	  0.875570	  0.056829	 -0.066174	  0.802470	  0.032300	 -0.038556	  0.624961	 -0.057019	  0.026768	  0.441314	  0.057775	  0.038401	  0.388574	  0.050808	  0.049033	  0.255801	  0.012599	  0.050969	  0.075479	  0.066525	 -0.037239	  0.026249	  0.039960	 -0.095235	  0.883575	  0.370142	 -0.061234	  0.818251	  0.398580	 -0.064771	  0.625464	  0.486270	 -0.017074	  0.441670	  0.371998	  0.000669	  0.381228	  0.379462	  0.023192	  0.251238	  0.412588	  0.044791	  0.078530	  0.351923	 -0.058417	  0.026404	  0.379415	  0.111684	  0.029026	  0.122909	  0.101364	  0.018697	  0.284315	 -0.022969	  1.331033	  0.046079	  0.075381	  1.350989	  0.217800	 -0.001684	  1.322755	  0.400091	
   157	1.570	  0.091552	  0.899675	  0.208487	 -0.091132	  0.875568	  0.056800	 -0.066287	  0.802449	  0.032282	 -0.038618	  0.624965	 -0.057037	  0.026670	  0.441324	  0.057766	  0.038354	  0.388583	  0.050805	  0.048953	  0.255798	  0.012588	  0.050947	  0.075476	  0.066526	 -0.037242	  0.026267	  0.039969	 -0.095416	  0.883599	  0.370123	 -0.061404	  0.818269	  0.398571	 -0.064826	  0.625455	  0.486257	 -0.017107	  0.441675	  0.371988	  0.000623	  0.381234	  0.379454	  0.023132	  0.251236	  0.412592	  0.044797	  0.078546	  0.351909	 -0.058415	  0.026400	  0.379414	  0.111652	  0.029026	  0.122908	  0.101366	  0.018715	  0.284315	 -0.023047	  1.331024	  0.046030	  0.075323	  1.350981	  0.217784	 -0.001786	  1.322764	  0.400071	
   158	1.580	  0.091483	  0.899681	  0.208489	 -0.091198	  0.875572	  0.056778	 -0.066417	  0.802442	  0.032260	 -0.038706	  0.624967	 -0.057049	  0.026623	  0.441326	  0.057752	  0.038307	  0.388579	  0.050804	  0.048896	  0.255799	  0.012589	  0.050919	  0.075483	  0.066522	 -0.037236	  0.026270	  0.039965	 -0.095582	  0.883609	  0.370102	 -0.061580	  0.818269	  0.398570	 -0.064879	  0.625436	  0.486251	 -0.017160	  0.441668	  0.371960	  0.000591	  0.381238	  0.379458	  0.023093	  0.251247	  0.412578	  0.044799	  0.078556	  0.351896	 -0.058420	  0.026393	  0.379407	  0.111628	  0.029036	  0.122920	  0.101409	  0.018757	  0.284323	 -0.023105	  1.331017	  0.046000	  0.075268	  1.350977	  0.217770	 -0.001893	  1.322773	  0.400052	
   159	1.590	  0.091421	  0.899687	  0.208488	 -0.091271	  0.875571	  0.056755	 -0.066565	  0.802442	  0.032230	 -0.038792	  0.624972	 -0.057062	  0.026556	  0.441340	  0.057753	  0.038261	  0.388590	  0.050792	  0.048822	  0.255827	  0.012580	  0.050923	  0.075497	  0.066525	 -0.037234	  0.026259	  0.039972	 -0.095796	  0.883644	  0.370085	 -0.061739	  0.818261	  0.398586	 -0.064945	  0.625424	  0.486231	 -0.017222	  0.441669	  0.371941	  0.000558	  0.381254	  0.379447	  0.023056	  0.251252	  0.412552	  0.044792	  0.078563	  0.351896	 -0.058427	  0.026411	  0.379399	  0.111629	  0.029066	  0.122923	  0.101370	  0.018731	  0.284314	 -0.023157	  1.331010	  0.045965	  0.075191	  1.350977	  0.217738	 -0.001970	  1.322779	  0.400039	
   160	1.600	  0.091347	  0.899706	  0.208469	 -0.091338	  0.875563	  0.056730	 -0.066682	  0.802444	  0.032189	 -0.038869	  0.624969	 -0.057086	  0.026494	  0.441345	  0.057752	  0.038190	  0.388618	  0.050788	  0.048787	  0.255835	  0.012578	  0.050939	  0.075496	  0.066527	 -0.037231	  0.026263	  0.039977	 -0.095994	  0.883699	  0.370062	 -0.061855	  0.818266	  0.398581	 -0.065019	  0.625426	  0.486204	 -0.017264	  0.441676	  0.371918	  0.000529	  0.381239	  0.379443	  0.023040	  0.251266	  0.412545	  0.044789	  0.078559	  0.351911	 -0.058425	  0.026412	  0.379402	  0.111640	  0.029079	  0.122937	  0.101356	  0.018720	  0.284306	 -0.023204	  1.330989	  0.045943	  0.075119	  1.350967	  0.217711	 -0.002041	  1.322796	  0.400028	
   161	1.610	  0.091273	  0.899725	  0.208444	 -0.091424	  0.875566	  0.056709	 -0.066863	  0.802447	  0.032153	 -0.038933	  0.624968	 -0.057097	  0.026412	  0.441355	  0.057753	  0.038122	  0.388635	  0.050785	  0.048778	  0.255843	  0.012578	  0.050921	  0.075510	  0.066512	 -0.037247	  0.026267	  0.039977	 -0.096155	  0.883731	  0.370047	 -0.061994	  0.818275	  0.398570	 -0.065104	  0.625428	  0.486167	 -0.017281	  0.441678	  0.371906	  0.000514	  0.381236	  0.379438	  0.023030	  0.251260	  0.412532	  0.044796	  0.078572	  0.351908	 -0.058431	  0.026404	  0.379401	  0.111664	  0.029079	  0.122938	  0.101356	  0.018722	  0.284314	 -0.023255	  1.330966	  0.045920	  0.075022	  1.350938	  0.217674	 -0.002116	  1.322811	  0.400012	
   162	1.620	  0.091207	  0.899724	  0.208438	 -0.091527	  0.875575	  0.056695	 -0.067013	  0.802454	  0.032137	 -0.038998	  0.624958	 -0.057100	  0.026366	  0.441358	  0.057745	  0.038055	  0.388647	  0.050780	  0.048761	  0.255844	  0.012577	  0.050916	  0.075527	  0.066527	 -0.037259	  0.026270	  0.039985	 -0.096301	  0.883747	  0.370015	 -0.062156	  0.818255	  0.398585	 -0.065169	  0.625433	  0.486136	 -0.017300	  0.441668	  0.371908	  0.000474	  0.381253	  0.379426	  0.023002	  0.251264	  0.412523	  0.044799	  0.078580	  0.351898	 -0.058433	  0.026400	  0.379393	  0.111664	  0.029080	  0.122935	  0.101359	  0.018715	  0.284306	 -0.023292	  1.330960	  0.045893	  0.074922	  1.350936	  0.217629	 -0.002217	  1.322834	  0.399973	
   163	1.630	  0.091139	  0.899728	  0.208441	 -0.091599	  0.875588	  0.056671	 -0.067134	  0.802439	  0.032120	 -0.039085	  0.624956	 -0.057118	  0.026291	  0.441358	  0.057741	  0.038043	  0.388640	  0.050783	  0.048710	  0.255861	  0.012583	  0.050897	  0.075536	  0.066539	 -0.037274	  0.026268	  0.039984	 -0.096414	  0.883767	  0.370000	 -0.062329	  0.818249	  0.398596	 -0.065252	  0.625421	  0.486093	 -0.017345	  0.441656	  0.371890	  0.000436	  0.381253	  0.379413	  0.022971	  0.251278	  0.412526	  0.044803	  0.078589	  0.351906	 -0.058424	  0.026407	  0.379393	  0.111661	  0.029082	  0.122928	  0.101341	  0.018729	  0.284279	 -0.023340	  1.330946	  0.045871	  0.074839	  1.350920	  0.217581	 -0.002321	  1.322853	  0.399948	
   164	1.640	  0.091022	  0.899720	  0.208416	 -0.091701	  0.875605	  0.056648	 -0.067224	  0.802423	  0.032096	 -0.039146	  0.624947	 -0.057124	  0.026238	  0.441360	  0.057723	  0.038017	  0.388643	  0.050780	  0.048668	  0.255878	  0.012582	  0.050882	  0.075527	  0.066539	 -0.037263	  0.026264	  0.039980	 -0.096597	  0.883796	  0.369974	 -0.062476	  0.818239	  0.398610	 -0.065316	  0.625408	  0.486064	 -0.017402	  0.441657	  0.371860	  0.000394	  0.381243	  0.379413	  0.022949	  0.251273	  0.412534	  0.044819	  0.078589	  0.351915	 -0.058412	  0.026418	  0.379387	  0.111651	  0.029104	  0.122941	  0.101352	  0.018730	  0.284276	 -0.023391	  1.330925	  0.045830	  0.074784	  1.350904	  0.217550	 -0.002441	  1.322852	  0.399915	
   165	1.650	  0.090938	  0.899720	  0.208391	 -0.091756	  0.875589	  0.056637	 -0.067334	  0.802420	  0.032070	 -0.039202	  0.624947	 -0.057125	  0.026221	  0.441356	  0.057709	  0.037975	  0.388656	  0.050765	  0.048641	  0.255868	  0.012568	  0.050887	  0.075523	  0.066534	 -0.037210	  0.026264	  0.039954	 -0.096716	  0.883794	  0.369968	 -0.062551	  0.818217	  0.398602	 -0.065379	  0.625401	  0.486038	 -0.017454	  0.441642	  0.371839	  0.000334	  0.381246	  0.379398	  0.022934	  0.251274	  0.412517	  0.044804	  0.078594	  0.351890	 -0.058431	  0.026408	  0.379377	  0.111638	  0.029097	  0.122941	  0.101357	  0.018727	  0.284275	 -0.023426	  1.330891	  0.045779	  0.074714	  1.350891	  0.217521	 -0.002542	  1.322847	  0.399881	
   166	1.660	  0.090850	  0.899708	  0.208359	 -0.091830	  0.875577	  0.056605	 -0.067458	  0.802417	  0.032062	 -0.039265	  0.624942	 -0.057143	  0.026190	  0.441350	  0.057708	  0.037937	  0.388659	  0.050746	  0.048631	  0.255880	  0.012557	  0.050911	  0.075535	  0.066522	 -0.037194	  0.026278	  0.039957	 -0.096816	  0.883803	  0.369964	 -0.062634	  0.818217	  0.398581	 -0.065447	  0.625400	  0.486023	 -0.017499	  0.441633	  0.371831	  0.000309	  0.381250	  0.379397	  0.022896	  0.251283	  0.412500	  0.044789	  0.078589	  0.351876	 -0.058443	  0.026411	  0.379393	  0.111620	  0.029099	  0.122938	  0.101361	  0.018740	  0.284277	 -0.023478	  1.330872	  0.045749	  0.074646	  1.350884	  0.217480	 -0.002615	  1.322863	  0.399856	
   167	1.670	  0.090751	  0.899698	  0.208325	 -0.091903	  0.875557	  0.056574	 -0.067527	  0.802396	  0.032049	 -0.039350	  0.624935	 -0.057165	  0.026163	  0.441363	  0.057702	  0.037913	  0.388669	  0.050738	  0.048619	  0.255863	  0.012555	  0.050878	  0.075533	  0.066522	 -0.037193	  0.026290	  0.039970	 -0.096949	  0.883836	  0.369973	 -0.062782	  0.818219	  0.398560	 -0.065515	  0.625406	  0.486004	 -0.017541	  0.441627	  0.371821	  0.000279	  0.381251	  0.379401	  0.022860	  0.251284	  0.412497	  0.044788	  0.078583	  0.351884	 -0.058438	  0.026433	  0.379393	  0.111605	  0.029084	  0.122938	  0.101355	  0.018736	  0.284289	 -0.023525	  1.330839	  0.045713	  0.074563	  1.350854	  0.217436	 -0.002686	  1.322872	  0.399810	
   168	1.680	  0.090666	  0.899698	  0.208310	 -0.091948	  0.875540	  0.056548	 -0.067575	  0.802375	  0.032042	 -0.039413	  0.624927	 -0.057178	  0.026135	  0.441375	  0.057703	  0.037889	  0.388671	  0.050752	  0.048609	  0.255851	  0.012567	  0.050874	  0.075529	  0.066539	 -0.037226	  0.026284	  0.039957	 -0.097056	  0.883850	  0.369968	 -0.062902	  0.818210	  0.398554	 -0.065563	  0.625412	  0.485980	 -0.017592	  0.441613	  0.371801	  0.000233	  0.381255	  0.379402	  0.022832	  0.251289	  0.412496	  0.044796	  0.078597	  0.351885	 -0.058420	  0.026437	  0.379393	  0.111597	  0.029070	  0.122924	  0.101345	  0.018720	  0.284277	 -0.023578	  1.330828	  0.045666	  0.074485	  1.350844	  0.217395	 -0.002776	  1.322876	  0.399783	
   169	1.690	  0.090571	  0.899694	  0.208291	 -0.092003	  0.875525	  0.056530	 -0.067671	  0.802357	  0.032039	 -0.039463	  0.624914	 -0.057188	  0.026094	  0.441369	  0.057703	  0.037869	  0.388677	  0.050740	  0.048618	  0.255859	  0.012576	  0.050877	  0.075547	  0.066535	 -0.037226	  0.026277	  0.039943	 -0.097125	  0.883854	  0.369970	 -0.062989	  0.818213	  0.398551	 -0.065619	  0.625420	  0.485956	 -0.017677	  0.441611	  0.371769	  0.000163	  0.381258	  0.379383	  0.022824	  0.251296	  0.412499	  0.044780	  0.078601	  0.351868	 -0.058430	  0.026422	  0.379386	  0.111597	  0.029047	  0.122916	  0.101349	  0.018732	  0.284290	 -0.023638	  1.330808	  0.045622	  0.074426	  1.350841	  0.217366	 -0.002872	  1.322881	  0.399752	
   170	1.700	  0.090468	  0.899690	  0.208262	 -0.092072	  0.875524	  0.056510	 -0.067782	  0.802341	  0.032016	 -0.039499	  0.624892	 -0.057195	  0.026097	  0.441359	  0.057696	  0.037834	  0.388689	  0.050729	  0.048617	  0.255860	  0.012556	  0.050894	  0.075551	  0.066526	 -0.037215	  0.026277	  0.039944	 -0.097192	  0.883865	  0.369950	 -0.063109	  0.818212	  0.398542	 -0.065701	  0.625419	  0.485924	 -0.017743	  0.441594	  0.371747	  0.000106	  0.381248	  0.379367	  0.022794	  0.251299	  0.412469	  0.044769	  0.078604	  0.351858	 -0.058430	  0.026403	  0.379400	  0.111596	  0.029046	  0.122915	  0.101354	  0.018728	  0.284275	 -0.023693	  1.330786	  0.045581	  0.074364	  1.350827	  0.217332	 -0.002931	  1.322880	  0.399718	
   171	1.710	  0.090402	  0.899667	  0.208245	 -0.092114	  0.875499	  0.056490	 -0.067828	  0.802336	  0.031993	 -0.039542	  0.624886	 -0.057202	  0.026053	  0.441356	  0.057697	  0.037809	  0.388685	  0.050728	  0.048585	  0.255859	  0.012540	  0.050884	  0.075556	  0.066521	 -0.037208	  0.026274	  0.039943	 -0.097297	  0.883886	  0.369919	 -0.063224	  0.818217	  0.398533	 -0.065777	  0.625388	  0.485893	 -0.017782	  0.441598	  0.371725	  0.000078	  0.381249	  0.379360	  0.022756	  0.251287	  0.412455	  0.044782	  0.078612	  0.351863	 -0.058419	  0.026418	  0.379393	  0.111614	  0.029071	  0.122920	  0.101340	  0.018732	  0.284263	 -0.023720	  1.330769	  0.045544	  0.074328	  1.350819	  0.217308	 -0.002984	  1.322886	  0.399681	
   172	1.720	  0.090320	  0.899644	  0.208216	 -0.092199	  0.875484	  0.056461	 -0.067852	  0.802327	  0.031989	 -0.039605	  0.624871	 -0.057204	  0.026032	  0.441352	  0.057686	  0.037773	  0.388678	  0.050730	  0.048567	  0.255870	  0.012556	  0.050876	  0.075543	  0.066515	 -0.037174	  0.026266	  0.039931	 -0.097394	  0.883904	  0.369901	 -0.063292	  0.818212	  0.398526	 -0.065839	  0.625342	  0.485875	 -0.017796	  0.441580	  0.371709	  0.000074	  0.381255	  0.379358	  0.022758	  0.251286	  0.412454	  0.044795	  0.078620	  0.351867	 -0.058411	  0.026428	  0.379397	  0.111655	  0.029081	  0.122917	  0.101334	  0.018730	  0.284269	 -0.023752	  1.330739	  0.045510	  0.074282	  1.350813	  0.217285	 -0.003027	  1.322895	  0.399636	
   173	1.730	  0.090252	  0.899637	  0.208190	 -0.092239	  0.875474	  0.056437	 -0.067911	  0.802306	  0.031985	 -0.039671	  0.624849	 -0.057222	  0.026015	  0.441342	  0.057677	  0.037767	  0.388659	  0.050717	  0.048546	  0.255859	  0.012549	  0.050894	  0.075526	  0.066521	 -0.037181	  0.026287	  0.039947	 -0.097464	  0.883916	  0.369864	 -0.063366	  0.818216	  0.398510	 -0.065887	  0.625327	  0.485867	 -0.017825	  0.441573	  0.371711	  0.000075	  0.381259	  0.379363	  0.022747	  0.251290	  0.412457	  0.044803	  0.078617	  0.351872	 -0.058430	  0.026444	  0.379412	  0.111610	  0.029056	  0.122911	  0.101340	  0.018728	  0.284278	 -0.023801	  1.330715	  0.045473	  0.074225	  1.350800	  0.217248	 -0.003079	  1.322893	  0.399604	
   174	1.740	  0.090203	  0.899644	  0.208186	 -0.092301	  0.875467	  0.056416	 -0.068001	  0.802290	  0.031974	 -0.039707	  0.624829	 -0.057226	  0.025983	  0.441346	  0.057677	  0.037765	  0.388653	  0.050708	  0.048546	  0.255859	  0.012544	  0.050920	  0.075525	  0.066540	 -0.037180	  0.026306	  0.039946	 -0.097540	  0.883930	  0.369841	 -0.063471	  0.818217	  0.398499	 -0.065897	  0.625314	  0.485863	 -0.017866	  0.441574	  0.371715	  0.000069	  0.381260	  0.379362	  0.022740	  0.251296	  0.412446	  0.044795	  0.078602	  0.351875	 -0.058422	  0.026435	  0.379410	  0.111573	  0.029036	  0.122920	  0.101313	  0.018723	  0.284263	 -0.023867	  1.330701	  0.045427	  0.074159	  1.350781	  0.217201	 -0.003154	  1.322898	  0.399565	
   175	1.750	  0.090154	  0.899645	  0.208168	 -0.092413	  0.875470	  0.056381	 -0.068039	  0.802279	  0.031953	 -0.039745	  0.624805	 -0.057242	  0.025913	  0.441344	  0.057670	  0.037715	  0.388672	  0.050690	  0.048562	  0.255861	  0.012538	  0.050901	  0.075510	  0.066540	 -0.037170	  0.026294	  0.039942	 -0.097592	  0.883938	  0.369829	 -0.063560	  0.818236	  0.398490	 -0.065916	  0.625307	  0.485852	 -0.017861	  0.441568	  0.371701	  0.000078	  0.381248	  0.379355	  0.022762	  0.251304	  0.412451	  0.044799	  0.078609	  0.351864	 -0.058414	  0.026433	  0.379387	  0.111587	  0.029031	  0.122931	  0.101305	  0.018719	  0.284253	 -0.023906	  1.330676	  0.045381	  0.074095	  1.350763	  0.217165	 -0.003207	  1.322895	  0.399520	
   176	1.760	  0.090092	  0.899655	  0.208132	 -0.092500	  0.875470	  0.056348	 -0.068101	  0.802269	  0.031936	 -0.039791	  0.624791	 -0.057244	  0.025915	  0.441339	  0.057667	  0.037690	  0.388675	  0.050688	  0.048523	  0.255860	  0.012523	  0.050898	  0.075514	  0.066527	 -0.037180	  0.026275	  0.039946	 -0.097630	  0.883931	  0.369816	 -0.063613	  0.818228	  0.398481	 -0.065936	  0.625315	  0.485845	 -0.017851	  0.441584	  0.371688	  0.000100	  0.381239	  0.379350	  0.022798	  0.251304	  0.412452	  0.044780	  0.078621	  0.351860	 -0.058410	  0.026426	  0.379396	  0.111613	  0.029051	  0.122937	  0.101352	  0.018722	  0.284271	 -0.023941	  1.330649	  0.045339	  0.074045	  1.350757	  0.217126	 -0.003250	  1.322898	  0.399476	
   177	1.770	  0.090047	  0.899643	  0.208100	 -0.092583	  0.875448	  0.056323	 -0.068139	  0.802267	  0.031920	 -0.039824	  0.624784	 -0.057248	  0.025910	  0.441348	  0.057662	  0.037680	  0.388677	  0.050684	  0.048523	  0.255863	  0.012524	  0.050875	  0.075511	  0.066538	 -0.037178	  0.026270	  0.039939	 -0.097673	  0.883932	  0.369799	 -0.063679	  0.818234	  0.398461	 -0.065914	  0.625327	  0.485837	 -0.017828	  0.441583	  0.371693	  0.000115	  0.381251	  0.379357	  0.022810	  0.251295	  0.412447	  0.044776	  0.078610	  0.351857	 -0.058407	  0.026414	  0.379409	  0.111597	  0.029037	  0.122935	  0.101347	  0.018714	  0.284267	 -0.023988	  1.330624	  0.045304	  0.073987	  1.350750	  0.217108	 -0.003306	  1.322898	  0.399422	
   178	1.780	  0.089968	  0.899640	  0.208070	 -0.092618	  0.875415	  0.056285	 -0.068169	  0.802240	  0.031903	 -0.039865	  0.624776	 -0.057275	  0.025905	  0.441341	  0.057652	  0.037633	  0.388685	  0.050670	  0.048533	  0.255868	  0.012543	  0.050875	  0.075493	  0.066538	 -0.037179	  0.026282	  0.039948	 -0.097711	  0.883928	  0.369781	 -0.063729	  0.818247	  0.398444	 -0.065915	  0.625332	  0.485815	 -0.017801	  0.441587	  0.371694	  0.000112	  0.381258	  0.379348	  0.022831	  0.251299	  0.412443	  0.044784	  0.078607	  0.351867	 -0.058412	  0.026420	  0.379396	  0.111585	  0.029031	  0.122934	  0.101355	  0.018708	  0.284272	 -0.024007	  1.330604	  0.045272	  0.073915	  1.350737	  0.217083	 -0.003380	  1.322906	  0.399393	
