BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	22
Frequency:    	100 Hz
Frames:       	583
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	
    10	0.100	  0.100980	  0.898924	  0.210487	 -0.083291	  0.877135	  0.059798	 -0.057615	  0.803241	  0.034668	 -0.032994	  0.625665	 -0.054766	  0.031389	  0.441361	  0.058983	  0.042048	  0.388794	  0.051864	  0.052365	  0.255954	  0.013292	  0.051497	  0.075171	  0.066368	 -0.037085	  0.026246	  0.039871	 -0.085152	  0.885307	  0.373130	 -0.051438	  0.818938	  0.401218	 -0.057397	  0.625909	  0.488295	 -0.013115	  0.442037	  0.373719	  0.003959	  0.381125	  0.380571	  0.025267	  0.250777	  0.413574	  0.045051	  0.078232	  0.352196	 -0.058404	  0.026376	  0.379456	  0.111729	  0.028551	  0.122701	  0.101519	  0.018479	  0.284422	 -0.008371	  1.331944	  0.048788	  0.090867	  1.350063	  0.219664	  0.014287	  1.323800	  0.402270	
    11	0.110	  0.101015	  0.898920	  0.210453	 -0.083272	  0.877141	  0.059777	 -0.057586	  0.803237	  0.034637	 -0.032984	  0.625675	 -0.054796	  0.031426	  0.441367	  0.058966	  0.042046	  0.388795	  0.051847	  0.052356	  0.255949	  0.013292	  0.051530	  0.075176	  0.066377	 -0.037079	  0.026259	  0.039854	 -0.085130	  0.885313	  0.373104	 -0.051453	  0.818943	  0.401197	 -0.057345	  0.625939	  0.488266	 -0.013106	  0.442038	  0.373696	  0.003952	  0.381133	  0.380545	  0.025259	  0.250791	  0.413569	  0.045065	  0.078232	  0.352198	 -0.058413	  0.026382	  0.379450	  0.111736	  0.028549	  0.122695	  0.101521	  0.018492	  0.284422	 -0.008342	  1.331939	  0.048770	  0.090868	  1.350065	  0.219642	  0.014306	  1.323810	  0.402252	
    12	0.120	  0.101046	  0.898915	  0.210433	 -0.083246	  0.877144	  0.059747	 -0.057557	  0.803231	  0.034616	 -0.032947	  0.625677	 -0.054817	  0.031446	  0.441373	  0.058949	  0.042071	  0.388800	  0.051827	  0.052333	  0.255941	  0.013300	  0.051525	  0.075190	  0.066376	 -0.037085	  0.026261	  0.039865	 -0.085147	  0.885334	  0.373071	 -0.051441	  0.818938	  0.401187	 -0.057318	  0.625966	  0.488254	 -0.013115	  0.442046	  0.373685	  0.003931	  0.381140	  0.380530	  0.025268	  0.250806	  0.413572	  0.045075	  0.078258	  0.352182	 -0.058414	  0.026386	  0.379443	  0.111700	  0.028525	  0.122695	  0.101487	  0.018474	  0.284409	 -0.008320	  1.331934	  0.048743	  0.090878	  1.350071	  0.219628	  0.014317	  1.323817	  0.402235	
    13	0.130	  0.101064	  0.898904	  0.210395	 -0.083248	  0.877147	  0.059719	 -0.057544	  0.803213	  0.034582	 -0.032958	  0.625664	 -0.054839	  0.031431	  0.441373	  0.058931	  0.042079	  0.388806	  0.051819	  0.052349	  0.255934	  0.013299	  0.051528	  0.075188	  0.066369	 -0.037082	  0.026262	  0.039862	 -0.085135	  0.885332	  0.373059	 -0.051419	  0.818947	  0.401136	 -0.057307	  0.625980	  0.488227	 -0.013093	  0.442041	  0.373669	  0.003917	  0.381152	  0.380506	  0.025277	  0.250811	  0.413565	  0.045063	  0.078255	  0.352172	 -0.058397	  0.026375	  0.379432	  0.111739	  0.028543	  0.122687	  0.101458	  0.018466	  0.284380	 -0.008310	  1.331930	  0.048717	  0.090877	  1.350080	  0.219604	  0.014325	  1.323816	  0.402219	
    14	0.140	  0.101075	  0.898885	  0.210348	 -0.083243	  0.877166	  0.059688	 -0.057531	  0.803206	  0.034562	 -0.032969	  0.625656	 -0.054856	  0.031466	  0.441386	  0.058900	  0.042085	  0.388813	  0.051821	  0.052411	  0.255932	  0.013277	  0.051531	  0.075184	  0.066342	 -0.037056	  0.026258	  0.039846	 -0.085120	  0.885334	  0.373032	 -0.051422	  0.818967	  0.401102	 -0.057320	  0.625976	  0.488197	 -0.013076	  0.442049	  0.373670	  0.003929	  0.381150	  0.380492	  0.025276	  0.250819	  0.413542	  0.045065	  0.078251	  0.352179	 -0.058381	  0.026368	  0.379431	  0.111745	  0.028560	  0.122693	  0.101453	  0.018451	  0.284361	 -0.008299	  1.331930	  0.048692	  0.090891	  1.350093	  0.219568	  0.014340	  1.323800	  0.402197	
    15	0.150	  0.101091	  0.898877	  0.210305	 -0.083217	  0.877193	  0.059655	 -0.057505	  0.803208	  0.034529	 -0.032957	  0.625652	 -0.054884	  0.031495	  0.441388	  0.058874	  0.042105	  0.388811	  0.051810	  0.052435	  0.255923	  0.013241	  0.051522	  0.075184	  0.066327	 -0.037062	  0.026247	  0.039847	 -0.085122	  0.885345	  0.373011	 -0.051414	  0.818972	  0.401094	 -0.057305	  0.625966	  0.488165	 -0.013076	  0.442058	  0.373648	  0.003961	  0.381161	  0.380484	  0.025278	  0.250818	  0.413510	  0.045069	  0.078260	  0.352183	 -0.058406	  0.026379	  0.379428	  0.111718	  0.028545	  0.122676	  0.101474	  0.018432	  0.284369	 -0.008282	  1.331926	  0.048669	  0.090929	  1.350112	  0.219561	  0.014357	  1.323798	  0.402178	
    16	0.160	  0.101059	  0.898851	  0.210250	 -0.083215	  0.877214	  0.059636	 -0.057480	  0.803214	  0.034503	 -0.032961	  0.625650	 -0.054922	  0.031527	  0.441369	  0.058854	  0.042107	  0.388808	  0.051791	  0.052433	  0.255920	  0.013228	  0.051508	  0.075184	  0.066314	 -0.037054	  0.026244	  0.039867	 -0.085144	  0.885363	  0.372965	 -0.051403	  0.818975	  0.401052	 -0.057328	  0.625971	  0.488126	 -0.013082	  0.442059	  0.373619	  0.003989	  0.381178	  0.380478	  0.025288	  0.250820	  0.413502	  0.045054	  0.078262	  0.352175	 -0.058411	  0.026388	  0.379419	  0.111736	  0.028560	  0.122688	  0.101490	  0.018438	  0.284377	 -0.008283	  1.331918	  0.048641	  0.090955	  1.350123	  0.219549	  0.014344	  1.323793	  0.402158	
    17	0.170	  0.101061	  0.898840	  0.210217	 -0.083181	  0.877225	  0.059603	 -0.057453	  0.803207	  0.034473	 -0.032940	  0.625652	 -0.054947	  0.031564	  0.441370	  0.058850	  0.042113	  0.388803	  0.051778	  0.052406	  0.255911	  0.013222	  0.051510	  0.075187	  0.066318	 -0.037020	  0.026257	  0.039856	 -0.085132	  0.885369	  0.372913	 -0.052445	  0.819285	  0.401123	 -0.057322	  0.625973	  0.488111	 -0.013050	  0.442060	  0.373615	  0.003975	  0.381188	  0.380467	  0.025304	  0.250834	  0.413500	  0.045057	  0.078262	  0.352169	 -0.058408	  0.026399	  0.379405	  0.111750	  0.028554	  0.122681	  0.101489	  0.018451	  0.284368	 -0.008275	  1.331903	  0.048607	  0.090953	  1.350132	  0.219523	  0.014353	  1.323782	  0.402134	
    18	0.180	  0.101092	  0.898849	  0.210218	 -0.083183	  0.877213	  0.059566	 -0.057407	  0.803192	  0.034453	 -0.032937	  0.625648	 -0.054988	  0.031597	  0.441377	  0.058832	  0.042106	  0.388796	  0.051774	  0.052420	  0.255900	  0.013207	  0.051558	  0.075195	  0.066333	 -0.037020	  0.026262	  0.039851	 -0.085152	  0.885382	  0.372883	 -0.054802	  0.819945	  0.401336	 -0.057343	  0.625979	  0.488078	 -0.013032	  0.442064	  0.373599	  0.003967	  0.381194	  0.380446	  0.025300	  0.250845	  0.413493	  0.045040	  0.078263	  0.352153	 -0.058396	  0.026405	  0.379402	  0.111727	  0.028536	  0.122671	  0.101492	  0.018471	  0.284378	 -0.008260	  1.331900	  0.048584	  0.090952	  1.350140	  0.219506	  0.014365	  1.323768	  0.402109	
    19	0.190	  0.101116	  0.898862	  0.210205	 -0.083168	  0.877204	  0.059540	 -0.057426	  0.803180	  0.034433	 -0.032917	  0.625639	 -0.054993	  0.031594	  0.441385	  0.058816	  0.042114	  0.388804	  0.051765	  0.052439	  0.255902	  0.013200	  0.051578	  0.075195	  0.066332	 -0.037032	  0.026272	  0.039849	 -0.085174	  0.885390	  0.372854	 -0.055422	  0.820114	  0.401370	 -0.057347	  0.625992	  0.488047	 -0.013017	  0.442070	  0.373577	  0.003981	  0.381191	  0.380434	  0.025292	  0.250848	  0.413487	  0.045053	  0.078271	  0.352156	 -0.058390	  0.026411	  0.379422	  0.111726	  0.028559	  0.122698	  0.101507	  0.018479	  0.284384	 -0.008271	  1.331905	  0.048559	  0.090966	  1.350136	  0.219499	  0.014351	  1.323755	  0.402094	
