BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	24
Frequency:    	100 Hz
Frames:       	515
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	    [P0].X	    [P0].Y	    [P0].Z	    [P1].X	    [P1].Y	    [P1].Z	
     0	0.000	 -0.124085	  0.931743	 -0.022779	  0.088303	  0.905737	  0.099453	  0.009087	  0.821229	  0.172905	 -0.016479	  0.624088	  0.265543	 -0.015979	  0.504020	  0.147155	 -0.050287	  0.407646	  0.149303	 -0.098753	  0.304618	  0.194730	 -0.075049	  0.072265	  0.147511	  0.027264	  0.018802	  0.167879	  0.080220	  0.891635	 -0.152590	 -0.008882	  0.802872	 -0.226484	 -0.038784	  0.622405	 -0.310557	 -0.017708	  0.485767	 -0.194135	 -0.044785	  0.403007	 -0.199058	 -0.060736	  0.299946	 -0.245365	 -0.076327	  0.071690	 -0.195230	  0.030684	  0.023546	 -0.212719	 -0.133087	  0.038176	  0.089248	 -0.138033	  0.035124	 -0.141714	 -0.032118	  1.349490	  0.149931	 -0.099898	  1.372882	 -0.033441	 -0.070453	  1.349852	 -0.222261	  0.036370	  0.005413	  0.162780	 -0.072389	  0.005462	 -0.134906	
     1	0.010	 -0.124014	  0.931795	 -0.022740	  0.088247	  0.905673	  0.099467	  0.009101	  0.821224	  0.172941	 -0.016449	  0.624090	  0.265573	 -0.015976	  0.504012	  0.147171	 -0.050332	  0.407637	  0.149347	 -0.098745	  0.304603	  0.194754	 -0.075080	  0.072240	  0.147530	  0.027240	  0.018787	  0.167881	  0.080302	  0.891612	 -0.152531	 -0.008870	  0.802880	 -0.226456	 -0.038727	  0.622412	 -0.310517	 -0.017735	  0.485754	 -0.194082	 -0.044775	  0.403011	 -0.199023	 -0.060708	  0.299950	 -0.245323	 -0.076340	  0.071686	 -0.195216	  0.030688	  0.023551	 -0.212700	 -0.133115	  0.038202	  0.089267	 -0.138075	  0.035138	 -0.141715	 -0.032146	  1.349455	  0.150005	 -0.099872	  1.372900	 -0.033354	 -0.070452	  1.349859	 -0.222170	  0.036370	  0.005413	  0.162780	 -0.072389	  0.005462	 -0.134906	
     2	0.020	 -0.123985	  0.931818	 -0.022713	  0.088311	  0.905695	  0.099498	  0.009160	  0.821239	  0.172998	 -0.016427	  0.624097	  0.265614	 -0.015951	  0.503998	  0.147219	 -0.050328	  0.407640	  0.149374	 -0.098735	  0.304601	  0.194781	 -0.075073	  0.072234	  0.147535	  0.027237	  0.018796	  0.167871	  0.080334	  0.891600	 -0.152476	 -0.008852	  0.802876	 -0.226428	 -0.038697	  0.622426	 -0.310463	 -0.017708	  0.485757	 -0.194028	 -0.044771	  0.403021	 -0.199001	 -0.060659	  0.299960	 -0.245303	 -0.076351	  0.071685	 -0.195218	  0.030695	  0.023547	 -0.212679	 -0.133159	  0.038262	  0.089277	 -0.138072	  0.035119	 -0.141721	 -0.032132	  1.349427	  0.150061	 -0.099846	  1.372908	 -0.033298	 -0.070412	  1.349858	 -0.222102	  0.036370	  0.005413	  0.162780	 -0.072389	  0.005462	 -0.134906	
     3	0.030	 -0.123978	  0.931847	 -0.022663	  0.088403	  0.905710	  0.099523	  0.009204	  0.821250	  0.173053	 -0.016435	  0.624092	  0.265662	 -0.015889	  0.503991	  0.147233	 -0.050268	  0.407635	  0.149391	 -0.098722	  0.304591	  0.194804	 -0.075065	  0.072241	  0.147542	  0.027230	  0.018790	  0.167885	  0.080382	  0.891588	 -0.152427	 -0.008782	  0.802837	 -0.226387	 -0.038699	  0.622432	 -0.310428	 -0.017679	  0.485744	 -0.194009	 -0.044742	  0.403035	 -0.198966	 -0.060615	  0.299959	 -0.245291	 -0.076350	  0.071683	 -0.195211	  0.030714	  0.023545	 -0.212703	 -0.133145	  0.038257	  0.089273	 -0.138078	  0.035112	 -0.141719	 -0.032126	  1.349409	  0.150126	 -0.099791	  1.372888	 -0.033241	 -0.070370	  1.349848	 -0.222037	  0.048491	  0.005495	  0.159625	 -0.015226	  0.005747	 -0.107062	
     4	0.040	 -0.123964	  0.931890	 -0.022628	  0.088465	  0.905730	  0.099547	  0.009223	  0.821241	  0.173114	 -0.016412	  0.624107	  0.265712	 -0.015841	  0.503985	  0.147262	 -0.050222	  0.407631	  0.149426	 -0.098712	  0.304600	  0.194818	 -0.075056	  0.072246	  0.147552	  0.027259	  0.018770	  0.167904	  0.080430	  0.891577	 -0.152372	 -0.008739	  0.802804	 -0.226343	 -0.038637	  0.622426	 -0.310394	 -0.017680	  0.485732	 -0.193975	 -0.044702	  0.403030	 -0.198920	 -0.060607	  0.299976	 -0.245260	 -0.076375	  0.071678	 -0.195214	  0.030715	  0.023547	 -0.212700	 -0.133129	  0.038226	  0.089273	 -0.138077	  0.035097	 -0.141712	 -0.032141	  1.349391	  0.150162	 -0.099728	  1.372875	 -0.033176	 -0.070370	  1.349843	 -0.221964	  0.010738	  0.005272	  0.155593	 -0.087856	  0.005322	 -0.116360	
     5	0.050	 -0.123907	  0.931921	 -0.022611	  0.088515	  0.905742	  0.099579	  0.009292	  0.821225	  0.173170	 -0.016315	  0.624125	  0.265774	 -0.015775	  0.503965	  0.147302	 -0.050201	  0.407628	  0.149459	 -0.098684	  0.304594	  0.194830	 -0.075032	  0.072241	  0.147543	  0.027260	  0.018756	  0.167900	  0.080474	  0.891565	 -0.152292	 -0.008663	  0.802799	 -0.226322	 -0.038593	  0.622425	 -0.310352	 -0.017676	  0.485735	 -0.193941	 -0.044692	  0.403017	 -0.198888	 -0.060634	  0.299972	 -0.245224	 -0.076350	  0.071654	 -0.195207	  0.030718	  0.023542	 -0.212696	 -0.133111	  0.038217	  0.089279	 -0.138056	  0.035089	 -0.141695	 -0.032141	  1.349365	  0.150200	 -0.099681	  1.372878	 -0.033102	 -0.070339	  1.349846	 -0.221906	  0.006947	  0.005244	  0.157664	 -0.007004	  0.005821	 -0.116446	
     6	0.060	 -0.123894	  0.931944	 -0.022568	  0.088545	  0.905742	  0.099610	  0.009361	  0.821204	  0.173229	 -0.016233	  0.624115	  0.265827	 -0.015755	  0.503967	  0.147337	 -0.050188	  0.407638	  0.149476	 -0.098656	  0.304589	  0.194831	 -0.075044	  0.072229	  0.147548	  0.027257	  0.018760	  0.167891	  0.080522	  0.891549	 -0.152218	 -0.008620	  0.802778	 -0.226294	 -0.038581	  0.622421	 -0.310303	 -0.017659	  0.485708	 -0.193896	 -0.044661	  0.403024	 -0.198854	 -0.060630	  0.299959	 -0.245207	 -0.076321	  0.071664	 -0.195190	  0.030690	  0.023527	 -0.212696	 -0.133118	  0.038208	  0.089268	 -0.138065	  0.035103	 -0.141693	 -0.032141	  1.349336	  0.150251	 -0.099647	  1.372863	 -0.033035	 -0.070292	  1.349849	 -0.221840	  0.001459	  0.005201	  0.161461	 -0.072519	  0.005461	 -0.134577	
     7	0.070	 -0.123900	  0.931948	 -0.022515	  0.088554	  0.905763	  0.099659	  0.009453	  0.821203	  0.173303	 -0.016127	  0.624092	  0.265867	 -0.015735	  0.503975	  0.147370	 -0.050147	  0.407642	  0.149486	 -0.098648	  0.304574	  0.194819	 -0.075037	  0.072232	  0.147543	  0.027237	  0.018773	  0.167897	  0.080571	  0.891530	 -0.152170	 -0.008597	  0.802759	 -0.226230	 -0.038569	  0.622409	 -0.310234	 -0.017611	  0.485693	 -0.193859	 -0.044618	  0.403034	 -0.198799	 -0.060614	  0.299945	 -0.245194	 -0.076329	  0.071680	 -0.195193	  0.030712	  0.023549	 -0.212694	 -0.133098	  0.038216	  0.089242	 -0.138059	  0.035123	 -0.141683	 -0.032127	  1.349311	  0.150289	 -0.099659	  1.372829	 -0.032959	 -0.070266	  1.349841	 -0.221762	  0.011735	  0.005267	  0.160196	 -0.027293	  0.005671	 -0.106151	
     8	0.080	 -0.123898	  0.931952	 -0.022472	  0.088644	  0.905786	  0.099693	  0.009522	  0.821199	  0.173383	 -0.016034	  0.624066	  0.265886	 -0.015695	  0.503964	  0.147393	 -0.050118	  0.407627	  0.149498	 -0.098605	  0.304561	  0.194840	 -0.075031	  0.072243	  0.147539	  0.027237	  0.018775	  0.167904	  0.080624	  0.891519	 -0.152121	 -0.008570	  0.802774	 -0.226152	 -0.038570	  0.622411	 -0.310165	 -0.017589	  0.485685	 -0.193825	 -0.044581	  0.403024	 -0.198780	 -0.060594	  0.299943	 -0.245189	 -0.076323	  0.071693	 -0.195197	  0.030711	  0.023559	 -0.212693	 -0.133101	  0.038227	  0.089230	 -0.138034	  0.035126	 -0.141681	 -0.032097	  1.349288	  0.150339	 -0.099668	  1.372802	 -0.032862	 -0.070251	  1.349836	 -0.221709	  0.065692	  0.005587	  0.165563	 -0.148909	  0.005020	 -0.147069	
     9	0.090	 -0.123895	  0.931959	 -0.022429	  0.088706	  0.905777	  0.099717	  0.009591	  0.821201	  0.173453	 -0.015966	  0.624030	  0.265933	 -0.015635	  0.503949	  0.147413	 -0.050069	  0.407616	  0.149518	 -0.098572	  0.304547	  0.194875	 -0.075041	  0.072234	  0.147541	  0.027243	  0.018769	  0.167890	  0.080649	  0.891500	 -0.152083	 -0.008510	  0.802767	 -0.226092	 -0.038581	  0.622428	 -0.310122	 -0.017561	  0.485682	 -0.193780	 -0.044597	  0.403023	 -0.198757	 -0.060601	  0.299953	 -0.245159	 -0.076331	  0.071704	 -0.195190	  0.030705	  0.023517	 -0.212697	 -0.133070	  0.038227	  0.089255	 -0.138020	  0.035109	 -0.141681	 -0.032041	  1.349267	  0.150388	 -0.099661	  1.372782	 -0.032782	 -0.070264	  1.349835	 -0.221663	  0.063261	  0.005584	  0.160401	 -0.113211	  0.005224	 -0.140610	
