BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	24
Frequency:    	100 Hz
Frames:       	555
Start time:   	0.000

 Frame	 Time	      c7.X	      c7.Y	      c7.Z	r should.X	r should.Y	r should.Z	l should.X	l should.Y	l should.Z	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	  l asis.X	  l asis.Y	  l asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	  l heel.X	  l heel.Y	  l heel.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	   r met.X	   r met.Y	   r met.Z	    [P0].X	    [P0].Y	    [P0].Z	    [P1].X	    [P1].Y	    [P1].Z	
   133	1.330	  0.349524	  1.470903	  0.183618	  0.291952	  1.433811	  0.039646	  0.288090	  1.450356	  0.330289	  0.439622	  0.962280	  0.194538	  0.200210	  0.945847	  0.043034	  0.220120	  0.941263	  0.372601	  0.306029	  0.823778	  0.006189	  0.330845	  0.861210	  0.408494	  0.310746	  0.583493	 -0.059303	  0.292292	  0.479270	  0.042842	  0.286297	  0.549915	  0.465573	  0.314644	  0.482022	  0.363452	  0.319971	  0.430635	  0.368639	  0.305986	  0.437734	  0.039715	  0.317898	  0.291363	 -0.002417	  0.360377	  0.072370	  0.057010	  0.328156	  0.267293	  0.399787	  0.350515	  0.074744	  0.334297	  0.393313	  0.025376	  0.275549	  0.242533	  0.022013	  0.363299	  0.410461	  0.027764	  0.118580	  0.250054	  0.028876	  0.036919	  0.323033	  0.006476	  0.214997	 -0.242408	  0.009479	  0.183778	
   134	1.340	  0.349705	  1.470916	  0.183641	  0.292104	  1.433805	  0.039664	  0.288203	  1.450381	  0.330330	  0.439686	  0.962276	  0.194552	  0.200230	  0.945864	  0.043081	  0.220178	  0.941261	  0.372631	  0.306155	  0.823804	  0.006254	  0.330965	  0.861220	  0.408524	  0.310798	  0.583505	 -0.059292	  0.292400	  0.479271	  0.042869	  0.286393	  0.549914	  0.465589	  0.314677	  0.482015	  0.363483	  0.320009	  0.430637	  0.368660	  0.306055	  0.437738	  0.039724	  0.317972	  0.291375	 -0.002374	  0.360387	  0.072378	  0.057018	  0.328181	  0.267305	  0.399791	  0.350517	  0.074734	  0.334294	  0.393361	  0.025394	  0.275551	  0.242542	  0.021990	  0.363311	  0.410459	  0.027764	  0.118571	  0.250047	  0.028875	  0.036920	  0.323703	  0.006469	  0.215324	 -0.242315	  0.009477	  0.183863	
   135	1.350	  0.349879	  1.470916	  0.183671	  0.292227	  1.433792	  0.039685	  0.288310	  1.450401	  0.330355	  0.439712	  0.962253	  0.194569	  0.200308	  0.945866	  0.043136	  0.220275	  0.941269	  0.372661	  0.306227	  0.823817	  0.006296	  0.331104	  0.861243	  0.408547	  0.310828	  0.583530	 -0.059265	  0.292480	  0.479285	  0.042896	  0.286454	  0.549903	  0.465648	  0.314704	  0.482001	  0.363520	  0.320054	  0.430634	  0.368680	  0.306156	  0.437741	  0.039739	  0.318058	  0.291382	 -0.002365	  0.360401	  0.072379	  0.057024	  0.328231	  0.267300	  0.399795	  0.350521	  0.074714	  0.334290	  0.393351	  0.025379	  0.275556	  0.242554	  0.021990	  0.363323	  0.410438	  0.027751	  0.118574	  0.250022	  0.028881	  0.036922	  0.323672	  0.006471	  0.215151	 -0.242443	  0.009479	  0.183768	
   136	1.360	  0.349988	  1.470917	  0.183694	  0.292333	  1.433782	  0.039704	  0.288398	  1.450412	  0.330381	  0.439778	  0.962248	  0.194596	  0.200373	  0.945865	  0.043175	  0.220404	  0.941279	  0.372706	  0.306300	  0.823827	  0.006329	  0.331255	  0.861262	  0.408586	  0.310877	  0.583547	 -0.059228	  0.292574	  0.479300	  0.042910	  0.286510	  0.549908	  0.465705	  0.314797	  0.481987	  0.363539	  0.320122	  0.430629	  0.368702	  0.306246	  0.437738	  0.039767	  0.318149	  0.291378	 -0.002363	  0.360411	  0.072367	  0.057014	  0.328291	  0.267300	  0.399798	  0.350559	  0.074702	  0.334292	  0.393318	  0.025355	  0.275546	  0.242570	  0.021990	  0.363346	  0.410425	  0.027727	  0.118575	  0.250074	  0.028875	  0.036935	  0.324258	  0.006462	  0.215654	 -0.242500	  0.009478	  0.183844	
   137	1.370	  0.350105	  1.470918	  0.183719	  0.292460	  1.433772	  0.039715	  0.288486	  1.450427	  0.330388	  0.439854	  0.962241	  0.194624	  0.200423	  0.945873	  0.043221	  0.220487	  0.941298	  0.372740	  0.306347	  0.823834	  0.006369	  0.331376	  0.861280	  0.408607	  0.310887	  0.583575	 -0.059218	  0.292638	  0.479315	  0.042916	  0.286564	  0.549915	  0.465746	  0.314871	  0.481996	  0.363563	  0.320194	  0.430618	  0.368730	  0.306315	  0.437752	  0.039787	  0.318238	  0.291367	 -0.002350	  0.360430	  0.072366	  0.057012	  0.328359	  0.267308	  0.399831	  0.350561	  0.074689	  0.334289	  0.393313	  0.025347	  0.275537	  0.242576	  0.021982	  0.363352	  0.410464	  0.027740	  0.118584	  0.250112	  0.028864	  0.036936	  0.324994	  0.006453	  0.216098	 -0.242519	  0.009478	  0.183844	
   138	1.380	  0.350215	  1.470913	  0.183729	  0.292576	  1.433753	  0.039735	  0.288588	  1.450418	  0.330408	  0.439923	  0.962223	  0.194639	  0.200550	  0.945862	  0.043281	  0.220580	  0.941312	  0.372762	  0.306449	  0.823860	  0.006432	  0.331490	  0.861280	  0.408640	  0.310895	  0.583636	 -0.059225	  0.292697	  0.479339	  0.042936	  0.286644	  0.549929	  0.465780	  0.314906	  0.481999	  0.363585	  0.320252	  0.430608	  0.368758	  0.306393	  0.437774	  0.039796	  0.318319	  0.291372	 -0.002345	  0.360438	  0.072364	  0.057015	  0.328435	  0.267294	  0.399858	  0.350569	  0.074694	  0.334293	  0.393330	  0.025348	  0.275529	  0.242575	  0.021992	  0.363341	  0.410445	  0.027735	  0.118576	  0.250141	  0.028864	  0.036938	  0.325317	  0.006446	  0.216606	 -0.242243	  0.009477	  0.183805	
   139	1.390	  0.350355	  1.470918	  0.183731	  0.292733	  1.433740	  0.039765	  0.288697	  1.450422	  0.330429	  0.439991	  0.962216	  0.194672	  0.200694	  0.945850	  0.043338	  0.220706	  0.941318	  0.372798	  0.306601	  0.823899	  0.006492	  0.331610	  0.861299	  0.408674	  0.310880	  0.583694	 -0.059232	  0.292784	  0.479344	  0.042952	  0.286743	  0.549917	  0.465844	  0.315005	  0.481992	  0.363610	  0.320319	  0.430601	  0.368773	  0.306431	  0.437780	  0.039793	  0.318382	  0.291368	 -0.002346	  0.360454	  0.072368	  0.057025	  0.328541	  0.267276	  0.399879	  0.350560	  0.074676	  0.334304	  0.393347	  0.025338	  0.275526	  0.242598	  0.021988	  0.363354	  0.410461	  0.027753	  0.118578	  0.250082	  0.028882	  0.036934	  0.324760	  0.006452	  0.216261	 -0.242443	  0.009479	  0.183768	
   140	1.400	  0.350485	  1.470917	  0.183748	  0.292854	  1.433720	  0.039797	  0.288811	  1.450436	  0.330449	  0.440115	  0.962219	  0.194714	  0.200786	  0.945832	  0.043415	  0.220775	  0.941325	  0.372815	  0.306717	  0.823919	  0.006547	  0.331699	  0.861324	  0.408704	  0.310870	  0.583727	 -0.059223	  0.292836	  0.479344	  0.042954	  0.286865	  0.549925	  0.465922	  0.315104	  0.481980	  0.363642	  0.320396	  0.430593	  0.368800	  0.306465	  0.437778	  0.039810	  0.318421	  0.291373	 -0.002336	  0.360445	  0.072365	  0.057027	  0.328635	  0.267253	  0.399902	  0.350570	  0.074667	  0.334300	  0.393346	  0.025336	  0.275531	  0.242603	  0.021981	  0.363345	  0.410483	  0.027752	  0.118573	  0.250071	  0.028876	  0.036930	  0.324590	  0.006452	  0.216396	 -0.242318	  0.009478	  0.183756	
   141	1.410	  0.350580	  1.470920	  0.183750	  0.292980	  1.433698	  0.039830	  0.288916	  1.450444	  0.330469	  0.440201	  0.962224	  0.194759	  0.200936	  0.945818	  0.043468	  0.220845	  0.941342	  0.372837	  0.306807	  0.823942	  0.006631	  0.331811	  0.861326	  0.408751	  0.310901	  0.583759	 -0.059212	  0.292869	  0.479329	  0.042973	  0.286925	  0.549944	  0.465958	  0.315150	  0.481962	  0.363675	  0.320478	  0.430595	  0.368836	  0.306469	  0.437774	  0.039836	  0.318489	  0.291379	 -0.002314	  0.360441	  0.072358	  0.057024	  0.328701	  0.267238	  0.399947	  0.350596	  0.074667	  0.334292	  0.393340	  0.025314	  0.275525	  0.242625	  0.021986	  0.363345	  0.410471	  0.027728	  0.118573	  0.250120	  0.028879	  0.036961	  0.324904	  0.006448	  0.216592	 -0.242425	  0.009479	  0.183787	
   142	1.420	  0.350689	  1.470922	  0.183764	  0.293069	  1.433678	  0.039862	  0.289015	  1.450452	  0.330479	  0.440262	  0.962221	  0.194794	  0.201035	  0.945818	  0.043512	  0.220910	  0.941351	  0.372891	  0.306904	  0.823951	  0.006692	  0.331897	  0.861323	  0.408793	  0.310958	  0.583810	 -0.059186	  0.292914	  0.479315	  0.042997	  0.287005	  0.549955	  0.466003	  0.315157	  0.481953	  0.363699	  0.320527	  0.430580	  0.368858	  0.306507	  0.437797	  0.039857	  0.318498	  0.291369	 -0.002283	  0.360449	  0.072367	  0.057041	  0.328738	  0.267213	  0.399986	  0.350618	  0.074656	  0.334297	  0.393316	  0.025289	  0.275520	  0.242626	  0.021987	  0.363355	  0.410497	  0.027739	  0.118584	  0.250125	  0.028873	  0.036956	  0.324860	  0.006444	  0.216866	 -0.242368	  0.009477	  0.183872	
   143	1.430	  0.350781	  1.470925	  0.183785	  0.293248	  1.433659	  0.039920	  0.289117	  1.450460	  0.330514	  0.440335	  0.962204	  0.194830	  0.201167	  0.945804	  0.043589	  0.220982	  0.941336	  0.372950	  0.307029	  0.823969	  0.006752	  0.331981	  0.861323	  0.408851	  0.311007	  0.583822	 -0.059152	  0.292974	  0.479322	  0.043028	  0.287097	  0.549962	  0.466047	  0.315231	  0.481946	  0.363726	  0.320535	  0.430581	  0.368874	  0.306586	  0.437799	  0.039893	  0.318513	  0.291375	 -0.002250	  0.360465	  0.072370	  0.057042	  0.328727	  0.267186	  0.400013	  0.350605	  0.074647	  0.334306	  0.393325	  0.025281	  0.275512	  0.242594	  0.021971	  0.363365	  0.410510	  0.027745	  0.118583	  0.250142	  0.028861	  0.036954	  0.324707	  0.006447	  0.216731	 -0.242443	  0.009478	  0.183805	
   144	1.440	  0.350880	  1.470917	  0.183801	  0.293389	  1.433629	  0.039966	  0.289190	  1.450459	  0.330545	  0.440426	  0.962197	  0.194889	  0.201151	  0.945845	  0.043627	  0.220993	  0.941322	  0.372991	  0.307120	  0.823954	  0.006810	  0.332067	  0.861338	  0.408897	  0.311057	  0.583816	 -0.059120	  0.292995	  0.479313	  0.043064	  0.287119	  0.549962	  0.466089	  0.315256	  0.481964	  0.363758	  0.320590	  0.430584	  0.368903	  0.306609	  0.437773	  0.039921	  0.318509	  0.291381	 -0.002226	  0.360480	  0.072364	  0.057038	  0.328730	  0.267181	  0.400039	  0.350615	  0.074651	  0.334320	  0.393320	  0.025265	  0.275521	  0.242592	  0.021958	  0.363378	  0.410464	  0.027721	  0.118579	  0.250157	  0.028861	  0.036972	  0.324607	  0.006446	  0.216810	 -0.242443	  0.009478	  0.183805	
   145	1.450	  0.350958	  1.470906	  0.183822	  0.293534	  1.433619	  0.040002	  0.289284	  1.450451	  0.330569	  0.440488	  0.962178	  0.194940	  0.201226	  0.945857	  0.043667	  0.221071	  0.941331	  0.373040	  0.307224	  0.823965	  0.006867	  0.332146	  0.861337	  0.408943	  0.311148	  0.583822	 -0.059093	  0.293035	  0.479301	  0.043100	  0.287171	  0.549944	  0.466115	  0.315287	  0.481939	  0.363788	  0.320646	  0.430564	  0.368934	  0.306621	  0.437777	  0.039945	  0.318511	  0.291394	 -0.002179	  0.360473	  0.072366	  0.057045	  0.328744	  0.267156	  0.400053	  0.350636	  0.074641	  0.334323	  0.393308	  0.025263	  0.275524	  0.242599	  0.021957	  0.363378	  0.410452	  0.027712	  0.118583	  0.250129	  0.028869	  0.036970	  0.325020	  0.006443	  0.216965	 -0.242499	  0.009479	  0.183738	
   146	1.460	  0.351050	  1.470904	  0.183847	  0.293683	  1.433603	  0.040052	  0.289375	  1.450451	  0.330593	  0.440584	  0.962175	  0.194980	  0.201291	  0.945855	  0.043690	  0.221130	  0.941306	  0.373075	  0.307359	  0.823985	  0.006936	  0.332209	  0.861347	  0.408981	  0.311224	  0.583806	 -0.059067	  0.293067	  0.479287	  0.043150	  0.287204	  0.549937	  0.466156	  0.315350	  0.481925	  0.363809	  0.320681	  0.430555	  0.368944	  0.306646	  0.437785	  0.039979	  0.318523	  0.291405	 -0.002134	  0.360475	  0.072364	  0.057066	  0.328740	  0.267138	  0.400061	  0.350626	  0.074633	  0.334319	  0.393339	  0.025270	  0.275532	  0.242627	  0.021962	  0.363386	  0.410433	  0.027686	  0.118578	  0.250097	  0.028883	  0.036976	  0.324870	  0.006443	  0.217006	 -0.242519	  0.009478	  0.183844	
   147	1.470	  0.351193	  1.470897	  0.183879	  0.293823	  1.433579	  0.040108	  0.289467	  1.450457	  0.330626	  0.440674	  0.962166	  0.195019	  0.201275	  0.945889	  0.043716	  0.221137	  0.941297	  0.373126	  0.307486	  0.823996	  0.007005	  0.332291	  0.861358	  0.409032	  0.311294	  0.583773	 -0.059016	  0.293080	  0.479284	  0.043183	  0.287306	  0.549937	  0.466198	  0.315362	  0.481932	  0.363848	  0.320745	  0.430564	  0.368963	  0.306643	  0.437786	  0.040012	  0.318515	  0.291418	 -0.002122	  0.360467	  0.072371	  0.057070	  0.328815	  0.267125	  0.400073	  0.350633	  0.074642	  0.334336	  0.393329	  0.025256	  0.275528	  0.242638	  0.021969	  0.363390	  0.410428	  0.027683	  0.118573	  0.250108	  0.028867	  0.036973	  0.325568	  0.006432	  0.217587	 -0.242318	  0.009479	  0.183701	
   148	1.480	  0.351347	  1.470899	  0.183916	  0.293969	  1.433555	  0.040156	  0.289596	  1.450459	  0.330658	  0.440777	  0.962145	  0.195050	  0.201287	  0.945915	  0.043755	  0.221230	  0.941302	  0.373174	  0.307609	  0.824011	  0.007094	  0.332372	  0.861350	  0.409081	  0.311388	  0.583739	 -0.058959	  0.293082	  0.479282	  0.043230	  0.287413	  0.549936	  0.466246	  0.315396	  0.481942	  0.363878	  0.320788	  0.430559	  0.368996	  0.306681	  0.437792	  0.040049	  0.318532	  0.291423	 -0.002086	  0.360457	  0.072374	  0.057063	  0.328872	  0.267101	  0.400092	  0.350626	  0.074610	  0.334326	  0.393288	  0.025223	  0.275502	  0.242654	  0.021961	  0.363407	  0.410481	  0.027718	  0.118580	  0.250146	  0.028865	  0.036988	  0.325029	  0.006440	  0.217181	 -0.242575	  0.009479	  0.183777	
   149	1.490	  0.351440	  1.470890	  0.183944	  0.294123	  1.433529	  0.040206	  0.289753	  1.450461	  0.330696	  0.440877	  0.962128	  0.195091	  0.201307	  0.945953	  0.043786	  0.221321	  0.941299	  0.373230	  0.307701	  0.823997	  0.007183	  0.332393	  0.861330	  0.409127	  0.311501	  0.583743	 -0.058908	  0.293130	  0.479285	  0.043280	  0.287431	  0.549922	  0.466292	  0.315453	  0.481924	  0.363915	  0.320835	  0.430546	  0.369032	  0.306711	  0.437791	  0.040084	  0.318534	  0.291415	 -0.002060	  0.360452	  0.072376	  0.057066	  0.328898	  0.267091	  0.400124	  0.350645	  0.074600	  0.334321	  0.393305	  0.025234	  0.275490	  0.242634	  0.021969	  0.363397	  0.410499	  0.027729	  0.118603	  0.250167	  0.028874	  0.036997	  0.325061	  0.006439	  0.217259	 -0.242368	  0.009477	  0.183890	
   150	1.500	  0.351489	  1.470880	  0.183963	  0.294284	  1.433517	  0.040265	  0.289905	  1.450477	  0.330745	  0.441013	  0.962126	  0.195136	  0.201384	  0.945939	  0.043790	  0.221397	  0.941289	  0.373272	  0.307803	  0.824016	  0.007251	  0.332458	  0.861329	  0.409201	  0.311599	  0.583759	 -0.058865	  0.293145	  0.479286	  0.043300	  0.287504	  0.549903	  0.466340	  0.315504	  0.481899	  0.363945	  0.320906	  0.430543	  0.369055	  0.306744	  0.437805	  0.040117	  0.318550	  0.291419	 -0.002037	  0.360447	  0.072370	  0.057068	  0.328911	  0.267068	  0.400134	  0.350644	  0.074590	  0.334328	  0.393315	  0.025241	  0.275494	  0.242620	  0.021971	  0.363374	  0.410458	  0.027717	  0.118590	  0.250174	  0.028880	  0.037016	  0.324812	  0.006438	  0.217398	 -0.242375	  0.009479	  0.183758	
   151	1.510	  0.351651	  1.470873	  0.184002	  0.294435	  1.433487	  0.040318	  0.290010	  1.450493	  0.330784	  0.441138	  0.962115	  0.195190	  0.201369	  0.945949	  0.043829	  0.221459	  0.941290	  0.373330	  0.307918	  0.824049	  0.007321	  0.332557	  0.861334	  0.409272	  0.311685	  0.583787	 -0.058820	  0.293169	  0.479302	  0.043330	  0.287609	  0.549907	  0.466382	  0.315571	  0.481889	  0.363980	  0.320963	  0.430539	  0.369087	  0.306762	  0.437823	  0.040144	  0.318588	  0.291431	 -0.002005	  0.360440	  0.072358	  0.057065	  0.328952	  0.267052	  0.400171	  0.350626	  0.074577	  0.334341	  0.393322	  0.025247	  0.275494	  0.242615	  0.021970	  0.363365	  0.410424	  0.027697	  0.118574	  0.250199	  0.028858	  0.037015	  0.324980	  0.006435	  0.217611	 -0.242406	  0.009478	  0.183787	
   152	1.520	  0.351804	  1.470865	  0.184033	  0.294581	  1.433460	  0.040372	  0.290101	  1.450512	  0.330809	  0.441225	  0.962101	  0.195228	  0.201315	  0.946003	  0.043878	  0.221526	  0.941298	  0.373409	  0.307975	  0.824046	  0.007386	  0.332667	  0.861341	  0.409330	  0.311760	  0.583773	 -0.058771	  0.293236	  0.479320	  0.043360	  0.287740	  0.549901	  0.466430	  0.315606	  0.481894	  0.364044	  0.320998	  0.430530	  0.369127	  0.306804	  0.437817	  0.040193	  0.318639	  0.291448	 -0.001981	  0.360465	  0.072375	  0.057070	  0.329006	  0.267048	  0.400216	  0.350614	  0.074577	  0.334350	  0.393346	  0.025255	  0.275494	  0.242627	  0.021957	  0.363396	  0.410445	  0.027721	  0.118572	  0.250168	  0.028854	  0.037001	  0.325137	  0.006428	  0.218098	 -0.242553	  0.009480	  0.183728	
   153	1.530	  0.351954	  1.470870	  0.184065	  0.294740	  1.433440	  0.040425	  0.290161	  1.450500	  0.330836	  0.441284	  0.962061	  0.195259	  0.201348	  0.946025	  0.043900	  0.221639	  0.941310	  0.373496	  0.308063	  0.824060	  0.007471	  0.332763	  0.861353	  0.409387	  0.311885	  0.583789	 -0.058697	  0.293264	  0.479322	  0.043387	  0.287828	  0.549917	  0.466498	  0.315623	  0.481884	  0.364093	  0.321036	  0.430513	  0.369172	  0.306872	  0.437833	  0.040231	  0.318663	  0.291450	 -0.001958	  0.360480	  0.072381	  0.057075	  0.329021	  0.267030	  0.400242	  0.350613	  0.074563	  0.334358	  0.393328	  0.025253	  0.275492	  0.242638	  0.021947	  0.363418	  0.410483	  0.027747	  0.118575	  0.250164	  0.028874	  0.037008	  0.324775	  0.006433	  0.217846	 -0.242443	  0.009479	  0.183787	
   154	1.540	  0.352092	  1.470862	  0.184097	  0.294877	  1.433421	  0.040474	  0.290288	  1.450525	  0.330865	  0.441338	  0.962018	  0.195298	  0.201338	  0.946045	  0.043934	  0.221730	  0.941302	  0.373579	  0.308171	  0.824079	  0.007556	  0.332853	  0.861349	  0.409437	  0.311978	  0.583801	 -0.058618	  0.293305	  0.479328	  0.043436	  0.287895	  0.549944	  0.466578	  0.315717	  0.481849	  0.364130	  0.321091	  0.430511	  0.369213	  0.306932	  0.437858	  0.040269	  0.318657	  0.291442	 -0.001951	  0.360464	  0.072377	  0.057076	  0.329032	  0.267027	  0.400257	  0.350626	  0.074557	  0.334361	  0.393306	  0.025234	  0.275497	  0.242629	  0.021933	  0.363399	  0.410458	  0.027729	  0.118569	  0.250156	  0.028882	  0.037012	  0.323974	  0.006438	  0.217751	 -0.242431	  0.009480	  0.183691	
   155	1.550	  0.352210	  1.470851	  0.184127	  0.294990	  1.433389	  0.040502	  0.290448	  1.450557	  0.330895	  0.441428	  0.962000	  0.195340	  0.201414	  0.946044	  0.043998	  0.221820	  0.941312	  0.373647	  0.308246	  0.824081	  0.007626	  0.332930	  0.861331	  0.409490	  0.312054	  0.583804	 -0.058562	  0.293313	  0.479329	  0.043477	  0.287953	  0.549921	  0.466633	  0.315782	  0.481843	  0.364190	  0.321145	  0.430511	  0.369252	  0.306920	  0.437850	  0.040300	  0.318684	  0.291460	 -0.001922	  0.360465	  0.072377	  0.057080	  0.329087	  0.267030	  0.400300	  0.350598	  0.074547	  0.334370	  0.393305	  0.025225	  0.275510	  0.242625	  0.021929	  0.363400	  0.410443	  0.027716	  0.118583	  0.250150	  0.028872	  0.037016	  0.325341	  0.006422	  0.218467	 -0.242425	  0.009479	  0.183787	
   156	1.560	  0.352366	  1.470862	  0.184150	  0.295124	  1.433346	  0.040537	  0.290598	  1.450563	  0.330924	  0.441522	  0.961987	  0.195375	  0.201524	  0.946022	  0.044061	  0.221964	  0.941317	  0.373716	  0.308302	  0.824089	  0.007677	  0.333015	  0.861321	  0.409546	  0.312082	  0.583826	 -0.058528	  0.293310	  0.479329	  0.043514	  0.288032	  0.549901	  0.466673	  0.315876	  0.481839	  0.364237	  0.321214	  0.430512	  0.369285	  0.306930	  0.437857	  0.040333	  0.318689	  0.291476	 -0.001887	  0.360451	  0.072379	  0.057074	  0.329136	  0.267015	  0.400341	  0.350614	  0.074560	  0.334377	  0.393329	  0.025243	  0.275513	  0.242649	  0.021924	  0.363446	  0.410457	  0.027724	  0.118593	  0.250131	  0.028873	  0.037015	  0.325664	  0.006418	  0.218681	 -0.242500	  0.009478	  0.183844	
   157	1.570	  0.352502	  1.470858	  0.184166	  0.295233	  1.433328	  0.040569	  0.290713	  1.450585	  0.330945	  0.441630	  0.961975	  0.195442	  0.201466	  0.946028	  0.044114	  0.222075	  0.941309	  0.373816	  0.308374	  0.824103	  0.007737	  0.333129	  0.861321	  0.409593	  0.312073	  0.583850	 -0.058507	  0.293367	  0.479332	  0.043549	  0.288096	  0.549884	  0.466727	  0.315936	  0.481825	  0.364274	  0.321278	  0.430503	  0.369321	  0.306945	  0.437865	  0.040374	  0.318723	  0.291485	 -0.001863	  0.360454	  0.072379	  0.057076	  0.329191	  0.267008	  0.400383	  0.350629	  0.074547	  0.334375	  0.393324	  0.025240	  0.275511	  0.242614	  0.021929	  0.363428	  0.410495	  0.027746	  0.118601	  0.250134	  0.028886	  0.037030	  0.325188	  0.006424	  0.218370	 -0.242519	  0.009478	  0.183862	
   158	1.580	  0.352657	  1.470850	  0.184187	  0.295368	  1.433312	  0.040606	  0.290859	  1.450608	  0.330972	  0.441761	  0.961979	  0.195517	  0.201448	  0.946043	  0.044170	  0.222235	  0.941327	  0.373923	  0.308429	  0.824121	  0.007791	  0.333304	  0.861354	  0.409651	  0.312054	  0.583849	 -0.058471	  0.293427	  0.479333	  0.043598	  0.288126	  0.549882	  0.466769	  0.315999	  0.481825	  0.364317	  0.321350	  0.430504	  0.369367	  0.306964	  0.437872	  0.040401	  0.318774	  0.291502	 -0.001816	  0.360471	  0.072394	  0.057084	  0.329231	  0.266993	  0.400390	  0.350620	  0.074516	  0.334389	  0.393324	  0.025237	  0.275514	  0.242603	  0.021943	  0.363422	  0.410473	  0.027729	  0.118593	  0.250152	  0.028890	  0.037047	  0.325864	  0.006415	  0.218896	 -0.242518	  0.009480	  0.183720	
   159	1.590	  0.352794	  1.470839	  0.184212	  0.295538	  1.433303	  0.040644	  0.291012	  1.450636	  0.330993	  0.441862	  0.961978	  0.195565	  0.201464	  0.946047	  0.044239	  0.222397	  0.941345	  0.374011	  0.308521	  0.824165	  0.007840	  0.333475	  0.861377	  0.409722	  0.312010	  0.583832	 -0.058431	  0.293476	  0.479342	  0.043628	  0.288177	  0.549852	  0.466806	  0.316000	  0.481826	  0.364373	  0.321405	  0.430496	  0.369403	  0.307026	  0.437896	  0.040427	  0.318836	  0.291500	 -0.001796	  0.360478	  0.072397	  0.057092	  0.329240	  0.266987	  0.400396	  0.350638	  0.074525	  0.334411	  0.393323	  0.025246	  0.275527	  0.242638	  0.021925	  0.363439	  0.410431	  0.027700	  0.118584	  0.250126	  0.028903	  0.037057	  0.325893	  0.006416	  0.218797	 -0.242443	  0.009478	  0.183805	
   160	1.600	  0.352903	  1.470832	  0.184226	  0.295663	  1.433287	  0.040680	  0.291202	  1.450660	  0.331029	  0.441985	  0.961975	  0.195632	  0.201356	  0.946105	  0.044302	  0.222549	  0.941351	  0.374076	  0.308608	  0.824200	  0.007888	  0.333631	  0.861398	  0.409769	  0.311974	  0.583798	 -0.058385	  0.293528	  0.479349	  0.043659	  0.288223	  0.549821	  0.466848	  0.316035	  0.481827	  0.364408	  0.321477	  0.430491	  0.369432	  0.307115	  0.437910	  0.040469	  0.318898	  0.291502	 -0.001770	  0.360472	  0.072403	  0.057089	  0.329256	  0.266983	  0.400399	  0.350637	  0.074508	  0.334400	  0.393324	  0.025245	  0.275525	  0.242650	  0.021907	  0.363447	  0.410426	  0.027715	  0.118588	  0.250128	  0.028892	  0.037051	  0.325477	  0.006422	  0.218427	 -0.242537	  0.009478	  0.183844	
   161	1.610	  0.353026	  1.470844	  0.184234	  0.295769	  1.433262	  0.040695	  0.291339	  1.450680	  0.331043	  0.442120	  0.961968	  0.195693	  0.201238	  0.946153	  0.044385	  0.222682	  0.941358	  0.374152	  0.308663	  0.824223	  0.007933	  0.333769	  0.861404	  0.409808	  0.311955	  0.583764	 -0.058337	  0.293592	  0.479356	  0.043702	  0.288308	  0.549788	  0.466888	  0.316103	  0.481848	  0.364453	  0.321541	  0.430496	  0.369471	  0.307197	  0.437922	  0.040502	  0.318939	  0.291517	 -0.001753	  0.360473	  0.072389	  0.057083	  0.329325	  0.266971	  0.400423	  0.350653	  0.074510	  0.334376	  0.393336	  0.025253	  0.275514	  0.242649	  0.021905	  0.363438	  0.410396	  0.027705	  0.118572	  0.250140	  0.028881	  0.037055	  0.325351	  0.006426	  0.218194	 -0.242443	  0.009478	  0.183805	
   162	1.620	  0.353162	  1.470847	  0.184248	  0.295882	  1.433246	  0.040722	  0.291494	  1.450704	  0.331060	  0.442258	  0.961997	  0.195750	  0.201135	  0.946205	  0.044445	  0.222842	  0.941365	  0.374245	  0.308766	  0.824253	  0.007997	  0.333952	  0.861417	  0.409883	  0.311989	  0.583744	 -0.058298	  0.293626	  0.479358	  0.043734	  0.288396	  0.549777	  0.466933	  0.316224	  0.481848	  0.364502	  0.321604	  0.430489	  0.369512	  0.307247	  0.437938	  0.040529	  0.318983	  0.291526	 -0.001732	  0.360467	  0.072390	  0.057081	  0.329414	  0.266942	  0.400452	  0.350641	  0.074506	  0.334386	  0.393374	  0.025268	  0.275514	  0.242665	  0.021911	  0.363436	  0.410409	  0.027701	  0.118566	  0.250122	  0.028885	  0.037064	  0.325817	  0.006420	  0.218485	 -0.242443	  0.009478	  0.183805	
