BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	24
Frequency:    	100 Hz
Frames:       	555
Start time:   	0.000

 Frame	 Time	      c7.X	      c7.Y	      c7.Z	r should.X	r should.Y	r should.Z	l should.X	l should.Y	l should.Z	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	  l asis.X	  l asis.Y	  l asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	  l heel.X	  l heel.Y	  l heel.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	   r met.X	   r met.Y	   r met.Z	    [P0].X	    [P0].Y	    [P0].Z	    [P1].X	    [P1].Y	    [P1].Z	
    10	0.100	  0.361683	  1.470609	  0.181138	  0.305381	  1.432614	  0.037928	  0.299143	  1.451654	  0.326487	  0.449043	  0.961591	  0.196189	  0.207772	  0.947199	  0.043121	  0.227119	  0.942176	  0.372469	  0.315445	  0.824572	  0.006970	  0.337970	  0.861023	  0.409399	  0.316449	  0.584254	 -0.059131	  0.297599	  0.479512	  0.042807	  0.289113	  0.549925	  0.466451	  0.318133	  0.482081	  0.364454	  0.323304	  0.430635	  0.369574	  0.311160	  0.438340	  0.039950	  0.321410	  0.291406	 -0.002138	  0.360540	  0.072010	  0.056841	  0.330559	  0.267059	  0.400444	  0.350739	  0.074419	  0.334613	  0.393472	  0.024983	  0.275694	  0.242595	  0.022021	  0.363236	  0.410451	  0.027557	  0.118536	  0.250110	  0.028810	  0.036922	  0.336243	  0.006478	  0.209971	 -0.242493	  0.009477	  0.183939	
    11	0.110	  0.361663	  1.470578	  0.181249	  0.305461	  1.432603	  0.038069	  0.299247	  1.451675	  0.326585	  0.449035	  0.961547	  0.196302	  0.207481	  0.947303	  0.043186	  0.227275	  0.942158	  0.372588	  0.315394	  0.824534	  0.007099	  0.338084	  0.861047	  0.409539	  0.316430	  0.584293	 -0.059060	  0.297541	  0.479502	  0.042883	  0.289181	  0.549887	  0.466541	  0.318175	  0.482085	  0.364549	  0.323326	  0.430609	  0.369646	  0.311136	  0.438354	  0.040018	  0.321393	  0.291420	 -0.002076	  0.360527	  0.072010	  0.056838	  0.330592	  0.267023	  0.400503	  0.350747	  0.074410	  0.334621	  0.393497	  0.024988	  0.275691	  0.242605	  0.022014	  0.363251	  0.410467	  0.027559	  0.118548	  0.250111	  0.028806	  0.036943	  0.336020	  0.006475	  0.210259	 -0.242500	  0.009478	  0.183844	
    12	0.120	  0.361608	  1.470548	  0.181370	  0.305534	  1.432591	  0.038201	  0.299316	  1.451700	  0.326698	  0.448967	  0.961487	  0.196425	  0.207113	  0.947387	  0.043258	  0.227365	  0.942146	  0.372699	  0.315333	  0.824491	  0.007218	  0.338212	  0.861090	  0.409696	  0.316400	  0.584307	 -0.058992	  0.297456	  0.479488	  0.042973	  0.289264	  0.549872	  0.466634	  0.318195	  0.482067	  0.364620	  0.323332	  0.430591	  0.369711	  0.311076	  0.438343	  0.040090	  0.321409	  0.291436	 -0.002025	  0.360526	  0.072014	  0.056852	  0.330612	  0.266997	  0.400559	  0.350755	  0.074381	  0.334631	  0.393481	  0.024965	  0.275692	  0.242638	  0.021999	  0.363251	  0.410449	  0.027559	  0.118549	  0.250126	  0.028817	  0.036955	  0.336325	  0.006463	  0.211111	 -0.242443	  0.009478	  0.183805	
    13	0.130	  0.361606	  1.470523	  0.181493	  0.305554	  1.432564	  0.038320	  0.299357	  1.451728	  0.326814	  0.448971	  0.961458	  0.196539	  0.206766	  0.947440	  0.043330	  0.227523	  0.942140	  0.372840	  0.315278	  0.824446	  0.007351	  0.338286	  0.861096	  0.409849	  0.316410	  0.584321	 -0.058911	  0.297368	  0.479482	  0.043078	  0.289326	  0.549843	  0.466736	  0.318197	  0.482049	  0.364693	  0.323329	  0.430567	  0.369766	  0.311001	  0.438343	  0.040146	  0.321415	  0.291453	 -0.001975	  0.360523	  0.072021	  0.056866	  0.330572	  0.266975	  0.400612	  0.350753	  0.074364	  0.334645	  0.393463	  0.024954	  0.275679	  0.242619	  0.021985	  0.363248	  0.410441	  0.027556	  0.118534	  0.250143	  0.028818	  0.036957	  0.336575	  0.006455	  0.211629	 -0.242519	  0.009478	  0.183826	
    14	0.140	  0.361659	  1.470508	  0.181614	  0.305567	  1.432529	  0.038446	  0.299488	  1.451748	  0.326926	  0.449013	  0.961440	  0.196649	  0.206538	  0.947486	  0.043382	  0.227722	  0.942142	  0.373024	  0.315241	  0.824399	  0.007503	  0.338361	  0.861100	  0.409986	  0.316407	  0.584336	 -0.058825	  0.297292	  0.479471	  0.043169	  0.289397	  0.549801	  0.466813	  0.318190	  0.482012	  0.364813	  0.323309	  0.430542	  0.369825	  0.310925	  0.438342	  0.040216	  0.321343	  0.291462	 -0.001932	  0.360512	  0.072020	  0.056871	  0.330528	  0.266956	  0.400661	  0.350756	  0.074359	  0.334644	  0.393481	  0.024945	  0.275682	  0.242603	  0.021994	  0.363252	  0.410458	  0.027551	  0.118534	  0.250129	  0.028835	  0.036971	  0.336152	  0.006452	  0.212039	 -0.242296	  0.009477	  0.183863	
    15	0.150	  0.361779	  1.470494	  0.181723	  0.305576	  1.432489	  0.038577	  0.299615	  1.451757	  0.327039	  0.449014	  0.961394	  0.196756	  0.206365	  0.947511	  0.043444	  0.227954	  0.942136	  0.373235	  0.315189	  0.824358	  0.007631	  0.338457	  0.861101	  0.410125	  0.316440	  0.584378	 -0.058728	  0.297184	  0.479471	  0.043263	  0.289459	  0.549770	  0.466891	  0.318171	  0.481991	  0.364931	  0.323309	  0.430520	  0.369887	  0.310848	  0.438353	  0.040286	  0.321288	  0.291466	 -0.001888	  0.360507	  0.072032	  0.056872	  0.330462	  0.266913	  0.400699	  0.350759	  0.074359	  0.334654	  0.393549	  0.024975	  0.275696	  0.242608	  0.021971	  0.363280	  0.410454	  0.027552	  0.118535	  0.250158	  0.028836	  0.036987	  0.336258	  0.006444	  0.212682	 -0.242318	  0.009479	  0.183701	
    16	0.160	  0.361873	  1.470474	  0.181824	  0.305594	  1.432448	  0.038701	  0.299706	  1.451760	  0.327166	  0.448972	  0.961332	  0.196853	  0.206244	  0.947556	  0.043512	  0.228150	  0.942137	  0.373453	  0.315086	  0.824321	  0.007726	  0.338521	  0.861096	  0.410247	  0.316506	  0.584408	 -0.058627	  0.297068	  0.479465	  0.043362	  0.289502	  0.549752	  0.466980	  0.318146	  0.481974	  0.365028	  0.323291	  0.430484	  0.369953	  0.310753	  0.438367	  0.040361	  0.321217	  0.291472	 -0.001841	  0.360519	  0.072047	  0.056883	  0.330425	  0.266868	  0.400751	  0.350771	  0.074348	  0.334658	  0.393551	  0.024999	  0.275708	  0.242600	  0.021956	  0.363294	  0.410450	  0.027550	  0.118549	  0.250144	  0.028836	  0.036995	  0.335730	  0.006441	  0.213137	 -0.242519	  0.009478	  0.183862	
    17	0.170	  0.361961	  1.470449	  0.181934	  0.305611	  1.432423	  0.038847	  0.299857	  1.451763	  0.327306	  0.448936	  0.961278	  0.196944	  0.206118	  0.947590	  0.043574	  0.228354	  0.942135	  0.373686	  0.315013	  0.824302	  0.007823	  0.338514	  0.861058	  0.410362	  0.316581	  0.584422	 -0.058495	  0.296935	  0.479469	  0.043457	  0.289490	  0.549755	  0.467060	  0.318147	  0.481958	  0.365111	  0.323278	  0.430448	  0.370032	  0.310643	  0.438372	  0.040439	  0.321135	  0.291486	 -0.001787	  0.360524	  0.072063	  0.056892	  0.330418	  0.266834	  0.400795	  0.350741	  0.074329	  0.334669	  0.393526	  0.025012	  0.275707	  0.242624	  0.021948	  0.363318	  0.410469	  0.027567	  0.118559	  0.250128	  0.028846	  0.036991	  0.335241	  0.006442	  0.213220	 -0.242536	  0.009480	  0.183720	
    18	0.180	  0.362048	  1.470418	  0.182034	  0.305639	  1.432400	  0.038978	  0.300102	  1.451761	  0.327474	  0.448890	  0.961229	  0.197023	  0.206025	  0.947599	  0.043665	  0.228578	  0.942126	  0.373920	  0.314985	  0.824297	  0.007956	  0.338498	  0.861005	  0.410492	  0.316563	  0.584410	 -0.058377	  0.296829	  0.479471	  0.043545	  0.289539	  0.549744	  0.467124	  0.318173	  0.481933	  0.365205	  0.323253	  0.430422	  0.370085	  0.310544	  0.438365	  0.040507	  0.321045	  0.291496	 -0.001735	  0.360500	  0.072072	  0.056899	  0.330428	  0.266806	  0.400819	  0.350708	  0.074319	  0.334678	  0.393513	  0.025012	  0.275695	  0.242644	  0.021952	  0.363330	  0.410465	  0.027575	  0.118546	  0.250142	  0.028838	  0.036995	  0.334762	  0.006439	  0.213657	 -0.242425	  0.009479	  0.183787	
    19	0.190	  0.362167	  1.470403	  0.182131	  0.305658	  1.432371	  0.039104	  0.300303	  1.451775	  0.327643	  0.448845	  0.961164	  0.197098	  0.206009	  0.947589	  0.043763	  0.228707	  0.942111	  0.374141	  0.315001	  0.824314	  0.008103	  0.338487	  0.860966	  0.410621	  0.316457	  0.584382	 -0.058283	  0.296745	  0.479462	  0.043631	  0.289621	  0.549716	  0.467203	  0.318203	  0.481915	  0.365308	  0.323249	  0.430402	  0.370136	  0.310483	  0.438378	  0.040590	  0.320984	  0.291501	 -0.001682	  0.360487	  0.072082	  0.056906	  0.330464	  0.266766	  0.400846	  0.350711	  0.074313	  0.334678	  0.393468	  0.024979	  0.275677	  0.242612	  0.021957	  0.363322	  0.410473	  0.027578	  0.118536	  0.250129	  0.028839	  0.037009	  0.334940	  0.006432	  0.214116	 -0.242462	  0.009479	  0.183787	
