BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	24
Frequency:    	100 Hz
Frames:       	463
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	    [P0].X	    [P0].Y	    [P0].Z	    [P1].X	    [P1].Y	    [P1].Z	
    10	0.100	  0.434812	  0.937076	  0.200368	  0.244152	  0.910885	  0.079121	  0.329449	  0.869775	  0.022119	  0.345023	  0.611362	 -0.075044	  0.344756	  0.467511	  0.034173	  0.353018	  0.397188	  0.028965	  0.362036	  0.300820	 -0.006441	  0.400570	  0.070180	  0.068629	  0.286230	  0.028881	  0.057286	  0.258638	  0.913796	  0.346260	  0.330852	  0.878487	  0.396604	  0.302831	  0.630123	  0.496307	  0.340697	  0.463078	  0.385510	  0.353322	  0.401690	  0.389534	  0.359025	  0.289581	  0.427368	  0.389497	  0.073412	  0.355660	  0.276354	  0.026596	  0.353195	  0.447192	  0.027507	  0.117043	  0.447961	  0.026785	  0.308452	  0.345886	  1.424388	  0.083202	  0.448837	  1.432714	  0.222087	  0.361747	  1.408058	  0.374648	  5.633006	 -0.053679	  2.277309	  0.000800	  0.008243	  0.217269	
    11	0.110	  0.434803	  0.937091	  0.200369	  0.244142	  0.910881	  0.079131	  0.329426	  0.869783	  0.022116	  0.345022	  0.611358	 -0.075038	  0.344753	  0.467531	  0.034167	  0.352985	  0.397188	  0.028958	  0.362035	  0.300825	 -0.006442	  0.400553	  0.070185	  0.068619	  0.286229	  0.028865	  0.057256	  0.258628	  0.913793	  0.346282	  0.330841	  0.878476	  0.396610	  0.302821	  0.630119	  0.496301	  0.340691	  0.463091	  0.385515	  0.353304	  0.401698	  0.389536	  0.359002	  0.289573	  0.427367	  0.389481	  0.073423	  0.355672	  0.276355	  0.026593	  0.353192	  0.447160	  0.027481	  0.117036	  0.447954	  0.026769	  0.308441	  0.345857	  1.424401	  0.083198	  0.448777	  1.432704	  0.222116	  0.361718	  1.408044	  0.374671	 -1.880816	  0.030568	 -0.605337	 -0.086344	  0.009885	  0.129312	
    12	0.120	  0.434795	  0.937097	  0.200370	  0.244086	  0.910892	  0.079120	  0.329428	  0.869791	  0.022120	  0.344997	  0.611351	 -0.075021	  0.344716	  0.467529	  0.034164	  0.352978	  0.397187	  0.028956	  0.362026	  0.300834	 -0.006440	  0.400533	  0.070184	  0.068622	  0.286214	  0.028867	  0.057235	  0.258593	  0.913780	  0.346285	  0.330843	  0.878473	  0.396617	  0.302802	  0.630118	  0.496314	  0.340671	  0.463082	  0.385501	  0.353294	  0.401708	  0.389527	  0.358992	  0.289570	  0.427365	  0.389472	  0.073428	  0.355656	  0.276371	  0.026581	  0.353196	  0.447190	  0.027510	  0.117050	  0.448021	  0.026811	  0.308442	  0.345823	  1.424435	  0.083203	  0.448745	  1.432716	  0.222151	  0.361698	  1.408029	  0.374694	 -1.679042	  0.029317	 -0.610799	 -0.091932	  0.008082	  0.280084	
    13	0.130	  0.434760	  0.937101	  0.200375	  0.244081	  0.910876	  0.079135	  0.329403	  0.869795	  0.022129	  0.344991	  0.611346	 -0.075015	  0.344724	  0.467511	  0.034177	  0.352995	  0.397200	  0.028971	  0.362030	  0.300842	 -0.006428	  0.400529	  0.070193	  0.068617	  0.286210	  0.028888	  0.057244	  0.258550	  0.913785	  0.346284	  0.330835	  0.878471	  0.396624	  0.302778	  0.630117	  0.496318	  0.340660	  0.463080	  0.385497	  0.353293	  0.401700	  0.389531	  0.358978	  0.289573	  0.427363	  0.389484	  0.073432	  0.355649	  0.276400	  0.026590	  0.353208	  0.447208	  0.027532	  0.117059	  0.448014	  0.026804	  0.308450	  0.345807	  1.424475	  0.083217	  0.448700	  1.432720	  0.222167	  0.361691	  1.408024	  0.374716	 -1.220996	  0.024109	 -0.429206	 -0.387600	  0.009637	  0.310992	
    14	0.140	  0.434733	  0.937100	  0.200377	  0.244061	  0.910876	  0.079143	  0.329371	  0.869790	  0.022135	  0.344998	  0.611352	 -0.075003	  0.344722	  0.467518	  0.034181	  0.353012	  0.397197	  0.028974	  0.362056	  0.300848	 -0.006428	  0.400537	  0.070190	  0.068594	  0.286231	  0.028894	  0.057277	  0.258520	  0.913790	  0.346295	  0.330789	  0.878476	  0.396605	  0.302759	  0.630127	  0.496323	  0.340638	  0.463081	  0.385500	  0.353285	  0.401700	  0.389555	  0.358968	  0.289576	  0.427359	  0.389487	  0.073434	  0.355655	  0.276376	  0.026603	  0.353213	  0.447231	  0.027556	  0.117077	  0.448005	  0.026790	  0.308441	  0.345782	  1.424521	  0.083228	  0.448645	  1.432718	  0.222180	  0.361648	  1.407998	  0.374729	 -0.713748	  0.017494	 -0.158520	 -0.387600	  0.009637	  0.310992	
    15	0.150	  0.434687	  0.937091	  0.200374	  0.243951	  0.910902	  0.079156	  0.329365	  0.869791	  0.022137	  0.345004	  0.611359	 -0.075005	  0.344743	  0.467528	  0.034188	  0.353032	  0.397191	  0.028982	  0.362060	  0.300843	 -0.006433	  0.400548	  0.070202	  0.068600	  0.286224	  0.028887	  0.057284	  0.258469	  0.913781	  0.346299	  0.330770	  0.878479	  0.396618	  0.302750	  0.630126	  0.496338	  0.340626	  0.463074	  0.385501	  0.353270	  0.401704	  0.389557	  0.358980	  0.289575	  0.427371	  0.389481	  0.073442	  0.355672	  0.276356	  0.026605	  0.353192	  0.447237	  0.027537	  0.117084	  0.448016	  0.026800	  0.308444	  0.345748	  1.424549	  0.083235	  0.448611	  1.432709	  0.222191	  0.361600	  1.407971	  0.374736	 -1.673438	  0.027396	 -0.456278	 -0.684808	  0.012831	  0.208383	
    16	0.160	  0.434652	  0.937104	  0.200383	  0.243911	  0.910879	  0.079148	  0.329349	  0.869786	  0.022135	  0.345024	  0.611373	 -0.075009	  0.344757	  0.467532	  0.034187	  0.353041	  0.397185	  0.028979	  0.362058	  0.300840	 -0.006448	  0.400542	  0.070192	  0.068618	  0.286241	  0.028886	  0.057281	  0.258317	  0.913667	  0.346215	  0.333059	  0.879108	  0.395915	  0.302714	  0.630133	  0.496347	  0.340598	  0.463068	  0.385498	  0.353244	  0.401689	  0.389548	  0.358981	  0.289570	  0.427379	  0.389471	  0.073438	  0.355668	  0.276351	  0.026596	  0.353192	  0.447249	  0.027552	  0.117095	  0.447998	  0.026799	  0.308460	  0.345706	  1.424569	  0.083254	  0.448589	  1.432700	  0.222200	  0.361611	  1.407940	  0.374747	 -0.766176	  0.017940	 -0.166990	 -0.682954	  0.013429	  0.158332	
    17	0.170	  0.434626	  0.937114	  0.200413	  0.243970	  0.910841	  0.079144	  0.329330	  0.869788	  0.022135	  0.345078	  0.611381	 -0.075003	  0.344764	  0.467531	  0.034177	  0.353032	  0.397194	  0.028965	  0.362066	  0.300845	 -0.006457	  0.400526	  0.070181	  0.068618	  0.286277	  0.028888	  0.057269	  0.258158	  0.913516	  0.346109	  0.335907	  0.879919	  0.395029	  0.302694	  0.630121	  0.496364	  0.340575	  0.463065	  0.385498	  0.353235	  0.401678	  0.389556	  0.359000	  0.289561	  0.427369	  0.389475	  0.073440	  0.355660	  0.276367	  0.026578	  0.353194	  0.447245	  0.027558	  0.117094	  0.448010	  0.026801	  0.308460	  0.345691	  1.424585	  0.083266	  0.448570	  1.432699	  0.222206	  0.361611	  1.407917	  0.374752	 -1.722918	  0.028154	 -0.491976	 -0.090069	  0.008683	  0.229827	
    18	0.180	  0.434605	  0.937126	  0.200432	  0.243956	  0.910842	  0.079140	  0.329299	  0.869792	  0.022140	  0.345117	  0.611387	 -0.074987	  0.344758	  0.467539	  0.034164	  0.353020	  0.397203	  0.028960	  0.362072	  0.300849	 -0.006470	  0.400524	  0.070189	  0.068597	  0.286289	  0.028889	  0.057262	  0.258269	  0.913694	  0.346263	  0.331911	  0.878840	  0.396247	  0.302664	  0.630118	  0.496378	  0.340586	  0.463067	  0.385513	  0.353227	  0.401684	  0.389564	  0.358981	  0.289560	  0.427366	  0.389494	  0.073443	  0.355657	  0.276377	  0.026571	  0.353196	  0.447251	  0.027568	  0.117090	  0.448022	  0.026823	  0.308453	  0.345659	  1.424594	  0.083265	  0.448555	  1.432695	  0.222195	  0.361581	  1.407901	  0.374745	 -1.470802	  0.026151	 -0.462752	 -0.334065	  0.011617	  0.119984	
    19	0.190	  0.434592	  0.937145	  0.200451	  0.243833	  0.910863	  0.079146	  0.329287	  0.869792	  0.022150	  0.345137	  0.611388	 -0.074974	  0.344746	  0.467541	  0.034168	  0.353012	  0.397197	  0.028955	  0.362040	  0.300854	 -0.006470	  0.400538	  0.070196	  0.068598	  0.286268	  0.028892	  0.057260	  0.258213	  0.913728	  0.346296	  0.330872	  0.878560	  0.396558	  0.302611	  0.630108	  0.496370	  0.340591	  0.463054	  0.385525	  0.353210	  0.401697	  0.389568	  0.358957	  0.289577	  0.427369	  0.389491	  0.073440	  0.355653	  0.276345	  0.026589	  0.353182	  0.447257	  0.027559	  0.117084	  0.448019	  0.026827	  0.308452	  0.345609	  1.424596	  0.083236	  0.448530	  1.432692	  0.222189	  0.361551	  1.407880	  0.374739	 -6.838042	  0.079300	 -1.945414	 -0.192463	  0.008785	  0.276367	
