BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	24
Frequency:    	100 Hz
Frames:       	712
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	    [P0].X	    [P0].Y	    [P0].Z	    [P1].X	    [P1].Y	    [P1].Z	
     0	0.000	  0.121371	  0.979632	  0.232156	 -0.083482	  0.975415	  0.111027	  0.018366	  0.891890	  0.040436	  0.000639	  0.717667	 -0.068570	  0.040792	  0.498887	  0.047182	  0.045389	  0.437157	  0.045323	  0.052216	  0.293076	  0.008046	  0.061184	  0.078360	  0.081902	 -0.045414	  0.033689	  0.070393	 -0.087953	  0.972719	  0.342647	  0.020325	  0.867076	  0.415120	  0.003256	  0.686124	  0.513128	  0.007154	  0.486893	  0.384301	  0.028436	  0.431762	  0.390458	  0.037220	  0.293908	  0.431351	  0.061733	  0.078256	  0.362373	 -0.042631	  0.030106	  0.378070	  0.134304	  0.039250	  0.135026	  0.135591	  0.036544	  0.311214	  0.023361	  1.452886	  0.056438	  0.103878	  1.481117	  0.242496	  0.010513	  1.452774	  0.415325	  0.096795	  0.008171	  0.194099	 -0.067124	  0.008348	  0.194544	
     1	0.010	  0.121413	  0.979666	  0.232112	 -0.083349	  0.975377	  0.110965	  0.018407	  0.891896	  0.040379	  0.000819	  0.717705	 -0.068628	  0.040808	  0.498896	  0.047148	  0.045459	  0.437167	  0.045284	  0.055081	  0.292662	  0.009809	  0.061211	  0.078352	  0.081904	 -0.045420	  0.033666	  0.070385	 -0.088127	  0.972721	  0.342536	  0.020329	  0.867068	  0.415052	  0.003241	  0.686145	  0.513087	  0.007099	  0.486919	  0.384226	  0.028442	  0.431762	  0.390436	  0.037210	  0.293883	  0.431325	  0.061731	  0.078264	  0.362369	 -0.042623	  0.030117	  0.378075	  0.134251	  0.039184	  0.135011	  0.135561	  0.036508	  0.311201	  0.023289	  1.452874	  0.056461	  0.103802	  1.481151	  0.242553	  0.010351	  1.452783	  0.415353	  0.091971	  0.008173	  0.194438	 -0.067376	  0.008356	  0.193815	
     2	0.020	  0.121460	  0.979703	  0.232086	 -0.083300	  0.975355	  0.110907	  0.018494	  0.891906	  0.040333	  0.000974	  0.717710	 -0.068698	  0.040828	  0.498892	  0.047126	  0.045531	  0.437157	  0.045250	  0.054600	  0.292146	  0.009615	  0.061233	  0.078348	  0.081887	 -0.045441	  0.033660	  0.070365	 -0.088253	  0.972704	  0.342443	  0.020355	  0.867078	  0.415009	  0.003163	  0.686165	  0.513036	  0.007108	  0.486918	  0.384179	  0.028435	  0.431756	  0.390421	  0.037220	  0.293875	  0.431300	  0.061731	  0.078275	  0.362366	 -0.042613	  0.030119	  0.378078	  0.134260	  0.039182	  0.135035	  0.135596	  0.036524	  0.311201	  0.023272	  1.452861	  0.056481	  0.103754	  1.481170	  0.242586	  0.010166	  1.452758	  0.415380	  0.093966	  0.008160	  0.195445	 -0.067115	  0.008356	  0.193848	
     3	0.030	  0.121511	  0.979739	  0.232051	 -0.083258	  0.975318	  0.110832	  0.018576	  0.891922	  0.040272	  0.001103	  0.717702	 -0.068766	  0.040886	  0.498882	  0.047095	  0.045596	  0.437160	  0.045221	  0.053283	  0.291610	  0.008912	  0.061243	  0.078345	  0.081894	 -0.045413	  0.033669	  0.070359	 -0.088386	  0.972693	  0.342346	  0.020298	  0.867071	  0.414950	  0.003105	  0.686158	  0.512981	  0.007169	  0.486917	  0.384157	  0.028472	  0.431760	  0.390401	  0.037224	  0.293876	  0.431277	  0.061726	  0.078278	  0.362363	 -0.042611	  0.030129	  0.378080	  0.134246	  0.039171	  0.135036	  0.135655	  0.036553	  0.311206	  0.023272	  1.452851	  0.056506	  0.103729	  1.481186	  0.242632	  0.009985	  1.452715	  0.415396	  0.097416	  0.008139	  0.197016	 -0.066946	  0.008370	  0.192515	
     4	0.040	  0.121610	  0.979772	  0.232027	 -0.083233	  0.975286	  0.110754	  0.018616	  0.891932	  0.040218	  0.001246	  0.717706	 -0.068810	  0.040940	  0.498878	  0.047064	  0.045677	  0.437156	  0.045173	  0.054493	  0.292411	  0.009404	  0.061244	  0.078348	  0.081896	 -0.045386	  0.033669	  0.070362	 -0.088511	  0.972707	  0.342251	  0.020244	  0.867059	  0.414882	  0.003036	  0.686144	  0.512919	  0.007208	  0.486910	  0.384117	  0.028497	  0.431780	  0.390365	  0.037277	  0.293893	  0.431255	  0.061726	  0.078281	  0.362361	 -0.042594	  0.030136	  0.378076	  0.134241	  0.039188	  0.135026	  0.135654	  0.036573	  0.311213	  0.023241	  1.452821	  0.056535	  0.103674	  1.481201	  0.242672	  0.009854	  1.452692	  0.415420	  0.098875	  0.008141	  0.196737	 -0.060420	  0.008370	  0.191773	
     5	0.050	  0.121652	  0.979794	  0.231996	 -0.083350	  0.975287	  0.110667	  0.018684	  0.891918	  0.040164	  0.001352	  0.717712	 -0.068884	  0.040997	  0.498879	  0.047028	  0.045786	  0.437157	  0.045148	  0.052573	  0.292324	  0.008246	  0.061252	  0.078342	  0.081888	 -0.045410	  0.033664	  0.070355	 -0.088570	  0.972700	  0.342157	  0.019791	  0.867000	  0.414028	  0.002966	  0.686132	  0.512851	  0.007191	  0.486919	  0.384051	  0.028489	  0.431792	  0.390323	  0.037296	  0.293905	  0.431211	  0.061731	  0.078285	  0.362359	 -0.042599	  0.030135	  0.378067	  0.134301	  0.039232	  0.135029	  0.135603	  0.036534	  0.311220	  0.023216	  1.452786	  0.056562	  0.103670	  1.481225	  0.242727	  0.009703	  1.452646	  0.415452	  0.099313	  0.008148	  0.196019	 -0.066818	  0.008380	  0.191529	
     6	0.060	  0.121631	  0.979814	  0.231955	 -0.083458	  0.975292	  0.110560	  0.018720	  0.891906	  0.040102	  0.001486	  0.717689	 -0.068986	  0.041063	  0.498883	  0.046983	  0.045882	  0.437150	  0.045115	  0.052748	  0.291615	  0.008437	  0.061268	  0.078335	  0.081892	 -0.045438	  0.033678	  0.070346	 -0.088669	  0.972693	  0.342061	  0.018859	  0.866902	  0.412223	  0.002943	  0.686123	  0.512789	  0.007192	  0.486922	  0.383963	  0.028508	  0.431793	  0.390285	  0.037324	  0.293906	  0.431184	  0.061725	  0.078288	  0.362353	 -0.042602	  0.030130	  0.378060	  0.134334	  0.039237	  0.135051	  0.135568	  0.036515	  0.311216	  0.023224	  1.452754	  0.056581	  0.103662	  1.481247	  0.242762	  0.009556	  1.452584	  0.415476	  0.099912	  0.008153	  0.195419	 -0.066693	  0.008390	  0.190556	
     7	0.070	  0.121674	  0.979827	  0.231902	 -0.083526	  0.975281	  0.110450	  0.018759	  0.891907	  0.040041	  0.001649	  0.717668	 -0.069056	  0.041130	  0.498884	  0.046948	  0.045923	  0.437131	  0.045056	  0.054184	  0.291873	  0.009176	  0.061310	  0.078339	  0.081888	 -0.045448	  0.033676	  0.070352	 -0.088777	  0.972689	  0.341953	  0.018684	  0.866911	  0.411770	  0.002941	  0.686140	  0.512726	  0.007188	  0.486922	  0.383911	  0.028519	  0.431811	  0.390257	  0.037368	  0.293929	  0.431167	  0.061738	  0.078290	  0.362334	 -0.042604	  0.030135	  0.378061	  0.134276	  0.039221	  0.135039	  0.135589	  0.036531	  0.311218	  0.023215	  1.452723	  0.056603	  0.103656	  1.481259	  0.242793	  0.009507	  1.452535	  0.415495	  0.101937	  0.008153	  0.195271	 -0.066820	  0.008401	  0.189510	
     8	0.080	  0.121766	  0.979856	  0.231840	 -0.083631	  0.975278	  0.110347	  0.018757	  0.891896	  0.039971	  0.001790	  0.717650	 -0.069136	  0.041191	  0.498873	  0.046924	  0.045997	  0.437133	  0.045025	  0.053329	  0.291535	  0.008698	  0.061331	  0.078344	  0.081876	 -0.045435	  0.033676	  0.070368	 -0.088895	  0.972703	  0.341866	  0.018651	  0.866907	  0.411633	  0.002967	  0.686151	  0.512671	  0.007220	  0.486942	  0.383877	  0.028523	  0.431807	  0.390236	  0.037373	  0.293957	  0.431129	  0.061757	  0.078301	  0.362333	 -0.042615	  0.030143	  0.378050	  0.134260	  0.039212	  0.135025	  0.135625	  0.036538	  0.311213	  0.023165	  1.452696	  0.056613	  0.103634	  1.481271	  0.242811	  0.009412	  1.452492	  0.415510	  0.096795	  0.008164	  0.194702	 -0.066990	  0.008409	  0.188846	
     9	0.090	  0.121762	  0.979861	  0.231771	 -0.083651	  0.975264	  0.110256	  0.018754	  0.891889	  0.039906	  0.001924	  0.717635	 -0.069219	  0.041242	  0.498855	  0.046889	  0.046065	  0.437126	  0.044992	  0.055615	  0.292252	  0.009859	  0.061313	  0.078336	  0.081870	 -0.045396	  0.033674	  0.070370	 -0.088992	  0.972713	  0.341772	  0.018640	  0.866896	  0.411565	  0.002960	  0.686165	  0.512609	  0.007222	  0.486933	  0.383827	  0.028539	  0.431800	  0.390203	  0.037367	  0.293959	  0.431097	  0.061766	  0.078293	  0.362325	 -0.042596	  0.030133	  0.378051	  0.134268	  0.039216	  0.135030	  0.135640	  0.036541	  0.311218	  0.023147	  1.452662	  0.056617	  0.103617	  1.481276	  0.242825	  0.009302	  1.452451	  0.415524	  0.098566	  0.008173	  0.193680	 -0.070217	  0.008387	  0.191224	
