BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	24
Frequency:    	100 Hz
Frames:       	702
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	    r gr.X	    r gr.Y	    r gr.Z	    l gr.X	    l gr.Y	    l gr.Z	
     0	0.000	  0.921477	  0.959003	  0.207992	  0.683405	  0.942496	  0.050928	  0.796234	  0.822594	  0.015087	  0.782768	  0.568582	 -0.045172	  0.754356	  0.475012	  0.055638	  0.765581	  0.433181	  0.052878	  0.776012	  0.287021	  0.012270	  0.813259	  0.068896	  0.073134	  0.703041	  0.024595	  0.053208	  0.691699	  0.940311	  0.378702	  0.805230	  0.858846	  0.418090	  0.741480	  0.542600	  0.470411	  0.782303	  0.478231	  0.372229	  0.787779	  0.427634	  0.376806	  0.792210	  0.263559	  0.406288	  0.813941	  0.071771	  0.341619	  0.702333	  0.018744	  0.359206	  0.863933	  0.025517	  0.135315	  0.860600	  0.021982	  0.287311	  0.768354	  1.426446	  0.049861	  0.815071	  1.470243	  0.195490	  0.748743	  1.443494	  0.339985	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     1	0.010	  0.921395	  0.959043	  0.208284	  0.682929	  0.942606	  0.051071	  0.796311	  0.822610	  0.015258	  0.782962	  0.568681	 -0.044986	  0.754419	  0.475026	  0.055705	  0.765729	  0.433235	  0.052992	  0.776118	  0.287080	  0.012338	  0.813292	  0.068891	  0.073147	  0.703023	  0.024582	  0.053187	  0.691599	  0.940283	  0.378874	  0.805021	  0.858807	  0.418186	  0.741580	  0.542550	  0.470628	  0.782340	  0.478178	  0.372394	  0.787853	  0.427636	  0.376972	  0.792266	  0.263557	  0.406460	  0.813992	  0.071756	  0.341659	  0.702290	  0.018732	  0.359229	  0.863868	  0.025484	  0.135310	  0.860603	  0.021933	  0.287340	  0.768315	  1.426475	  0.050143	  0.814915	  1.470260	  0.195794	  0.748597	  1.443433	  0.340352	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     2	0.020	  0.921356	  0.959086	  0.208556	  0.682561	  0.942732	  0.051199	  0.796823	  0.822774	  0.015774	  0.783146	  0.568778	 -0.044779	  0.754448	  0.475040	  0.055765	  0.765851	  0.433275	  0.053085	  0.776264	  0.287138	  0.012420	  0.813314	  0.068902	  0.073139	  0.703013	  0.024584	  0.053191	  0.691508	  0.940296	  0.379089	  0.804793	  0.858769	  0.418268	  0.741653	  0.542509	  0.470821	  0.782374	  0.478155	  0.372523	  0.787859	  0.427620	  0.377124	  0.792223	  0.263525	  0.406593	  0.814018	  0.071731	  0.341697	  0.702261	  0.018709	  0.359257	  0.863852	  0.025475	  0.135325	  0.860601	  0.021904	  0.287355	  0.768257	  1.426495	  0.050382	  0.814740	  1.470274	  0.196092	  0.748541	  1.443341	  0.340690	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     3	0.030	  0.921282	  0.959101	  0.208791	  0.682343	  0.942839	  0.051343	  0.797712	  0.823081	  0.016565	  0.783329	  0.568899	 -0.044582	  0.754487	  0.475061	  0.055827	  0.765913	  0.433288	  0.053181	  0.776354	  0.287185	  0.012463	  0.813325	  0.068912	  0.073147	  0.703037	  0.024592	  0.053194	  0.691431	  0.940283	  0.379257	  0.804635	  0.858791	  0.418382	  0.741666	  0.542486	  0.470966	  0.782406	  0.478139	  0.372632	  0.787824	  0.427611	  0.377255	  0.792094	  0.263490	  0.406698	  0.814025	  0.071722	  0.341722	  0.702267	  0.018685	  0.359275	  0.863806	  0.025436	  0.135321	  0.860579	  0.021882	  0.287383	  0.768149	  1.426538	  0.050600	  0.814520	  1.470280	  0.196424	  0.748457	  1.443250	  0.341014	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     4	0.040	  0.921228	  0.959136	  0.209022	  0.682170	  0.942919	  0.051518	  0.798013	  0.823197	  0.016892	  0.783479	  0.569000	 -0.044420	  0.754526	  0.475071	  0.055869	  0.766009	  0.433321	  0.053258	  0.776420	  0.287210	  0.012500	  0.813351	  0.068930	  0.073152	  0.703022	  0.024587	  0.053192	  0.691373	  0.940264	  0.379495	  0.804635	  0.858895	  0.418541	  0.741568	  0.542462	  0.471066	  0.782389	  0.478096	  0.372722	  0.787794	  0.427601	  0.377344	  0.791956	  0.263437	  0.406799	  0.814024	  0.071699	  0.341730	  0.702282	  0.018682	  0.359280	  0.863808	  0.025441	  0.135327	  0.860564	  0.021879	  0.287402	  0.767995	  1.426598	  0.050808	  0.814265	  1.470270	  0.196756	  0.748392	  1.443189	  0.341335	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     5	0.050	  0.921183	  0.959186	  0.209238	  0.682051	  0.942980	  0.051655	  0.798125	  0.823273	  0.017103	  0.783573	  0.569066	 -0.044275	  0.754608	  0.475094	  0.055925	  0.766104	  0.433358	  0.053333	  0.776527	  0.287266	  0.012550	  0.813365	  0.068951	  0.073160	  0.703004	  0.024564	  0.053179	  0.691304	  0.940223	  0.379713	  0.804804	  0.859120	  0.418702	  0.741452	  0.542432	  0.471149	  0.782397	  0.478088	  0.372793	  0.787757	  0.427596	  0.377436	  0.791840	  0.263363	  0.406891	  0.814002	  0.071691	  0.341743	  0.702249	  0.018687	  0.359294	  0.863856	  0.025477	  0.135343	  0.860561	  0.021877	  0.287414	  0.767892	  1.426630	  0.051023	  0.814029	  1.470275	  0.197071	  0.748304	  1.443146	  0.341650	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     6	0.060	  0.921120	  0.959210	  0.209436	  0.681959	  0.943040	  0.051803	  0.798126	  0.823317	  0.017290	  0.783704	  0.569152	 -0.044123	  0.754657	  0.475107	  0.055986	  0.766206	  0.433413	  0.053423	  0.776641	  0.287339	  0.012593	  0.813374	  0.068969	  0.073166	  0.703031	  0.024569	  0.053182	  0.691303	  0.940171	  0.379914	  0.805131	  0.859243	  0.419272	  0.741382	  0.542416	  0.471241	  0.782377	  0.478092	  0.372853	  0.787682	  0.427581	  0.377507	  0.791739	  0.263319	  0.406964	  0.814017	  0.071698	  0.341752	  0.702248	  0.018679	  0.359299	  0.863865	  0.025484	  0.135366	  0.860571	  0.021879	  0.287428	  0.767805	  1.426647	  0.051246	  0.813833	  1.470280	  0.197377	  0.748157	  1.443146	  0.341914	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     7	0.070	  0.921058	  0.959235	  0.209633	  0.682166	  0.943031	  0.052000	  0.798146	  0.823361	  0.017457	  0.783816	  0.569219	 -0.043982	  0.754672	  0.475121	  0.056038	  0.766296	  0.433449	  0.053495	  0.776728	  0.287398	  0.012639	  0.813371	  0.068976	  0.073173	  0.703035	  0.024594	  0.053190	  0.691240	  0.940124	  0.380139	  0.805403	  0.859082	  0.420380	  0.741317	  0.542367	  0.471330	  0.782296	  0.478063	  0.372916	  0.787613	  0.427565	  0.377583	  0.791621	  0.263273	  0.407019	  0.814009	  0.071691	  0.341758	  0.702277	  0.018672	  0.359282	  0.863868	  0.025501	  0.135362	  0.860597	  0.021900	  0.287444	  0.767724	  1.426655	  0.051452	  0.813701	  1.470285	  0.197670	  0.748011	  1.443131	  0.342150	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     8	0.080	  0.921013	  0.959254	  0.209814	  0.682468	  0.942996	  0.052174	  0.798112	  0.823381	  0.017580	  0.783899	  0.569263	 -0.043862	  0.754689	  0.475148	  0.056089	  0.766333	  0.433473	  0.053549	  0.776837	  0.287438	  0.012691	  0.813377	  0.068996	  0.073179	  0.703042	  0.024590	  0.053187	  0.691190	  0.940062	  0.380426	  0.805331	  0.859028	  0.420803	  0.741262	  0.542306	  0.471400	  0.782216	  0.478043	  0.372968	  0.787545	  0.427541	  0.377644	  0.791538	  0.263263	  0.407111	  0.813993	  0.071687	  0.341762	  0.702320	  0.018677	  0.359316	  0.863879	  0.025528	  0.135365	  0.860592	  0.021905	  0.287452	  0.767625	  1.426662	  0.051642	  0.813654	  1.470297	  0.197932	  0.747907	  1.443111	  0.342390	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     9	0.090	  0.920929	  0.959262	  0.209974	  0.682707	  0.942951	  0.052330	  0.798042	  0.823398	  0.017698	  0.784016	  0.569308	 -0.043751	  0.754691	  0.475158	  0.056126	  0.766386	  0.433505	  0.053612	  0.776893	  0.287469	  0.012708	  0.813388	  0.069012	  0.073184	  0.703049	  0.024582	  0.053178	  0.691027	  0.940050	  0.380668	  0.805138	  0.858966	  0.421024	  0.741220	  0.542256	  0.471494	  0.782180	  0.478044	  0.373008	  0.787461	  0.427518	  0.377707	  0.791433	  0.263241	  0.407172	  0.814010	  0.071700	  0.341777	  0.702297	  0.018670	  0.359320	  0.863873	  0.025527	  0.135368	  0.860587	  0.021918	  0.287458	  0.767537	  1.426672	  0.051819	  0.813623	  1.470313	  0.198171	  0.747815	  1.443091	  0.342610	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
