BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	24
Frequency:    	100 Hz
Frames:       	637
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	    r gr.X	    r gr.Y	    r gr.Z	    l gr.X	    l gr.Y	    l gr.Z	
    10	0.100	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.004124	  0.580481	  0.415404	 -2.023988	  0.395447	  0.308140	 -2.035094	  0.335755	  0.313660	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007047	  0.760782	  0.311169	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.993335	  0.386689	  0.019026	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092381	  0.021849	  0.027467	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    11	0.110	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.003892	  0.580473	  0.415524	 -2.023992	  0.395528	  0.308199	 -2.034961	  0.335697	  0.313698	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007103	  0.760762	  0.311271	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.994034	  0.386576	  0.019229	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092350	  0.021774	  0.027520	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    12	0.120	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.003812	  0.580446	  0.415680	 -2.023865	  0.395432	  0.308220	 -2.034896	  0.335617	  0.313772	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007215	  0.760720	  0.311403	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.994817	  0.386438	  0.019456	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092371	  0.021659	  0.027543	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    13	0.130	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.003835	  0.580354	  0.415808	 -2.023682	  0.395157	  0.308206	 -2.034947	  0.335505	  0.313823	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007392	  0.760631	  0.311578	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.995633	  0.386346	  0.019711	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092437	  0.021560	  0.027588	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    14	0.140	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.003967	  0.580210	  0.415913	 -2.023563	  0.394802	  0.308214	 -2.035110	  0.335399	  0.313894	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007604	  0.760491	  0.311829	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.996431	  0.386192	  0.019997	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092444	  0.021486	  0.027682	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    15	0.150	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.004258	  0.580020	  0.416097	 -2.023485	  0.394443	  0.308218	 -2.035350	  0.335235	  0.313978	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007788	  0.760260	  0.312052	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.997129	  0.386147	  0.020234	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092453	  0.021415	  0.027758	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    16	0.160	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.004592	  0.579724	  0.416252	 -2.023567	  0.394159	  0.308233	 -2.035571	  0.335043	  0.314041	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007952	  0.760021	  0.312262	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.997705	  0.386151	  0.020443	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092458	  0.021307	  0.027887	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    17	0.170	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.005138	  0.579374	  0.416465	 -2.023900	  0.394021	  0.308328	 -2.035752	  0.334821	  0.314089	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.008160	  0.759794	  0.312460	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.998161	  0.386136	  0.020615	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092469	  0.021160	  0.027950	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    18	0.180	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.005794	  0.579022	  0.416746	 -2.024378	  0.393945	  0.308487	 -2.035973	  0.334594	  0.314200	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.008460	  0.759531	  0.312693	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.998569	  0.386166	  0.020747	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092542	  0.021006	  0.027988	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    19	0.190	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.006411	  0.578743	  0.417029	 -2.024895	  0.393840	  0.308651	 -2.036211	  0.334427	  0.314356	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.008963	  0.759268	  0.313038	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.998951	  0.386230	  0.020872	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092675	  0.020829	  0.027999	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
